,Corp ID,Corp Name,School ID,School Name,County,SC 2016,SpecEd 2016,SpecEd Perc,Enrollment 2016,District ID,District
45,9200,Archdiocese of Indianapolis,B050,Holy Family School,Floyd,58.0,18.0,5.31,339.0,3180,North Harrison Community School Corporation
46,9200,Archdiocese of Indianapolis,B050,Holy Family School,Floyd,58.0,18.0,5.31,339.0,3190,South Harrison Community Schools
47,9200,Archdiocese of Indianapolis,B050,Holy Family School,Floyd,58.0,18.0,5.31,339.0,940,West Clark Community Schools
48,9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,71.0,29.0,8.01,362.0,1000,Clarksville Community School Corporation
49,9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,71.0,29.0,8.01,362.0,1010,Greater Clark County Schools
50,9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,71.0,29.0,8.01,362.0,2400,New Albany-Floyd County Consolidated School Corporation
51,9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,71.0,29.0,8.01,362.0,3180,North Harrison Community School Corporation
52,9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,71.0,29.0,8.01,362.0,940,West Clark Community Schools
53,9200,Archdiocese of Indianapolis,B067,Saint Mary of-the-Knobs Catholic School,Floyd,24.0,15.0,7.39,203.0,1000,Clarksville Community School Corporation
54,9200,Archdiocese of Indianapolis,B067,Saint Mary of-the-Knobs Catholic School,Floyd,24.0,15.0,7.39,203.0,1010,Greater Clark County Schools
55,9200,Archdiocese of Indianapolis,B067,Saint Mary of-the-Knobs Catholic School,Floyd,24.0,15.0,7.39,203.0,2400,New Albany-Floyd County Consolidated School Corporation
56,9200,Archdiocese of Indianapolis,B067,Saint Mary of-the-Knobs Catholic School,Floyd,24.0,15.0,7.39,203.0,940,West Clark Community Schools
57,9200,Archdiocese of Indianapolis,B095,Saint Michael School,Franklin,31.0,18.0,7.93,227.0,2475,Franklin County Community School Corporation
58,9200,Archdiocese of Indianapolis,B265,Saint Michael School,Hancock,52.0,19.0,8.72,218.0,3145,Eastern Hancock County Community School Corporation
59,9200,Archdiocese of Indianapolis,B265,Saint Michael School,Hancock,52.0,19.0,8.72,218.0,3125,Greenfield-Central Community Schools
60,9200,Archdiocese of Indianapolis,B265,Saint Michael School,Hancock,52.0,19.0,8.72,218.0,3135,Mount Vernon Community School Corporation
61,9200,Archdiocese of Indianapolis,B265,Saint Michael School,Hancock,52.0,19.0,8.72,218.0,3115,Southern Hancock County Community School Corporation
62,9200,Archdiocese of Indianapolis,B280,Saint Joseph School,Harrison,40.0,9.0,11.25,80.0,1000,Clarksville Community School Corporation
