,District No.,District Name,Public special ed enrollment 2016,Public special ed ratio 2016,Public total enrollment 2016,Special ed enrollment 2016,Total enrollment 2016,Special ed ratio 2016
83,3070,Noblesville Schools,1511,14.49,10426,373.0,6509.0,5.73
84,3115,Southern Hancock Co Com Sch Corp,522,14.78,3532,364.0,4918.0,7.4
85,3125,Greenfield-Central Com Schools,755,16.7,4521,106.0,2075.0,5.11
86,3135,Mt Vernon Community School Corp,595,15.13,3933,323.0,6945.0,4.65
87,3145,Eastern Hancock Co Com Sch Corp,217,17.92,1211,200.0,2828.0,7.07
88,3160,Lanesville Community School Corp,97,12.97,748,91.0,1715.0,5.31
89,3180,North Harrison Com School Corp,420,18.59,2259,86.0,1588.0,5.42
90,3190,South Harrison Com Schools,524,16.79,3120,91.0,1715.0,5.31
91,3295,North West Hendricks Schools,225,11.91,1889,77.0,1424.0,5.41
92,3305,Brownsburg Community School Corp,1012,11.58,8737,421.0,7337.0,5.74
93,3315,Avon Community School Corp,1378,14.67,9392,467.0,8694.0,5.37
94,3325,Danville Community School Corp,286,11.61,2463,188.0,3198.0,5.88
95,3330,Plainfield Community School Corp,781,14.29,5466,289.0,4579.0,6.31
96,3335,Mill Creek Community Sch Corp,254,16.62,1528,72.0,1045.0,6.89
97,3405,Blue River Valley Schools,88,13.23,665,20.0,357.0,5.6
98,3415,South Henry School Corp,96,11.68,822,25.0,309.0,8.09
99,3435,Shenandoah School Corporation,235,16.82,1397,86.0,1009.0,8.52
100,3445,New Castle Community School Corp,638,19.32,3302,11.0,206.0,5.34
101,3455,C A Beard Memorial School Corp,241,20.78,1160,,,
102,3460,Taylor Community School Corp,264,20.5,1288,202.0,2132.0,9.47
103,3470,Northwestern School Corp,225,12.51,1799,165.0,1374.0,12.01
104,3480,Eastern Howard School Corporation,235,15.66,1501,13.0,95.0,13.68
105,3490,Western School Corporation,352,13.08,2692,195.0,2563.0,7.61
106,3500,Kokomo School Corporation,1116,18.08,6172,208.0,2312.0,9.0
107,3625,Huntington Co Com Sch Corp,916,17.4,5265,216.0,4159.0,5.19
108,3640,Medora Community School Corp,47,22.93,205,5.0,114.0,4.39
109,3675,Seymour Community Schools,776,16.5,4704,91.0,1036.0,8.78
110,3695,Brownstown Cnt Com Sch Corp,227,14.35,1582,112.0,1255.0,8.92
111,3710,Crothersville Community Schools,97,19.72,492,66.0,818.0,8.07
112,3785,Kankakee Valley School Corp,502,14.67,3423,149.0,1705.0,8.74
113,3815,Rensselaer Central School Corp,285,16.97,1679,28.0,515.0,5.44
114,3945,Jay School Corporation,829,24.56,3376,33.0,350.0,9.43
115,3995,Madison Consolidated Schools,457,15.83,2887,25.0,710.0,3.52
116,4000,Southwestern-Jefferson Co Con,206,15.43,1335,25.0,617.0,4.05
117,4015,Jennings County School Corporation,876,19.91,4400,145.0,1990.0,7.29
118,4145,Clark-Pleasant Community Sch Corp,910,13.85,6571,401.0,5183.0,7.74
119,4205,Center Grove Community School Corp,1100,13.45,8180,602.0,7730.0,7.79
120,4215,Edinburgh Community School Corp,173,18.99,911,24.0,302.0,7.95
121,4225,Franklin Community School Corp,736,14.71,5004,335.0,4516.0,7.42
122,4245,Greenwood Community Sch Corp,609,15.61,3902,569.0,7550.0,7.54
123,4255,Nineveh-Hensley-Jackson United,280,15.32,1828,170.0,2601.0,6.54
124,4315,North Knox School Corp,206,15.56,1324,38.0,585.0,6.5
125,4325,South Knox School Corp,159,12.81,1241,22.0,413.0,5.33
126,4335,Vincennes Community School Corp,452,16.82,2687,38.0,585.0,6.5
127,4345,Wawasee Community School Corp,501,16.45,3045,55.0,634.0,8.68
128,4415,Warsaw Community Schools,1011,14.39,7024,93.0,836.0,11.12
129,4445,Tippecanoe Valley School Corp,339,18.42,1840,31.0,349.0,8.88
130,4455,Whitko Community School Corp,288,19.79,1455,57.0,842.0,6.77
131,4515,Prairie Heights Community Sch Corp,202,15.92,1269,59.0,1075.0,5.49
132,4525,Westview School Corporation,343,15.18,2259,24.0,509.0,4.72
133,4535,Lakeland School Corporation,341,17.18,1985,68.0,965.0,7.05
134,4580,Hanover Community School Corp,260,11.81,2201,58.0,1837.0,3.16
