,School No.,School Name,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016
176,A195,Concordia Lutheran High School,31.0,3.97,781.0
177,A200,Suburban Bethlehem Lutheran School,10.0,6.54,153.0
178,A205,Concordia Lutheran School,18.0,4.63,389.0
179,A215,Emmanuel St Michael Lutheran Sch,22.0,6.4,344.0
180,A220,Emmaus Lutheran School,3.0,1.55,193.0
181,A225,Holy Cross Lutheran School,26.0,6.31,412.0
182,A235,Lutheran South Unity School,14.0,8.05,174.0
183,A245,Saint Paul Lutheran School,13.0,7.14,182.0
184,A248,Ascension Lutheran School,11.0,7.86,140.0
185,A250,Saint Peter's Lutheran School,15.0,7.01,214.0
186,A365,St John-Emmanuel Lutheran School,18.0,12.95,139.0
187,A370,Central Lutheran School,12.0,3.48,345.0
188,A375,Woodburn Lutheran School,13.0,9.85,132.0
189,A430,White Creek Lutheran School,12.0,9.38,128.0
190,A435,Saint Peter Lutheran School,33.0,7.5,440.0
191,A695,Saint John Ev Lutheran School,4.0,7.69,52.0
192,B275,Saint John Lutheran School,11.0,17.19,64.0
193,B367,Redeemer Lutheran School,13.0,13.68,95.0
194,B445,Immanuel Lutheran School,36.0,11.15,323.0
195,B450,Saint John Lutheran School,13.0,14.44,90.0
196,B452,Trinity Lutheran High School,11.0,7.75,142.0
197,B465,Lutheran Central School,10.0,7.87,127.0
198,B850,Trinity Lutheran School,15.0,7.81,192.0
199,C050,Trinity Lutheran School,4.0,4.88,82.0
200,C065,St Paul's Lutheran School,10.0,6.02,166.0
201,C150,Saint John Lutheran School,10.0,9.8,102.0
202,C267,Holy Cross Lutheran School,24.0,10.0,240.0
203,C270,Lutheran High School,20.0,7.97,251.0
204,C315,Calvary Lutheran School,18.0,8.04,224.0
205,C395,Trinity Lutheran School,13.0,10.83,120.0
206,C400,Saint John Ev Lutheran School,16.0,8.65,185.0
207,C512,Our Shepherd Lutheran School,11.0,7.33,150.0
208,C680,Emmaus Lutheran School,2.0,10.53,19.0
209,C985,St John Lutheran School,13.0,8.84,147.0
210,D090,Immanuel Lutheran School,9.0,5.26,171.0
211,D317,Resurrection Lutheran Academy,2.0,3.57,56.0
212,D375,Saint Peter Lutheran School,3.0,3.41,88.0
213,D435,Saint James Lutheran School,19.0,9.13,208.0
214,D625,Evansville Lutheran School,25.0,14.79,169.0
215,B297,The Oaks Academy - Brookside,11.0,4.66,236.0
216,C773,The Oaks Academy - Fall Creek,28.0,8.09,346.0
217,C774,The Oaks Academy - Middle School,6.0,4.05,148.0
218,C460,IN Sch for the Blind & Vis Imprd,137.0,99.28,138.0
219,C695,Indiana School For The Deaf,270.0,98.18,275.0
220,C275,,30.0,2.52,1189.0
221,B009,,114.0,11.26,1012.0
222,B045,,19.0,2.56,743.0
223,B771,,2.0,0.28,709.0
224,D485,,37.0,5.4,685.0
225,C375,,51.0,8.28,616.0
226,D452,,43.0,7.19,598.0
227,A740,,36.0,6.03,597.0
228,C966,,18.0,3.09,583.0
229,A990,,30.0,5.64,532.0
230,A307,,60.0,12.2,492.0
231,B295,,27.0,6.65,406.0
232,A172,,12.0,3.06,392.0
233,A170,,5.0,1.43,350.0
234,C020,,13.0,3.77,345.0
235,C527,,13.0,3.89,334.0
236,C965,,21.0,6.54,321.0
237,B290,,16.0,5.0,320.0
238,B470,,15.0,4.78,314.0
239,D080,,22.0,7.26,303.0
240,C940,,24.0,7.95,302.0
241,D073,,5.0,1.69,296.0
242,B015,,14.0,4.75,295.0
243,C226,,24.0,8.16,294.0
244,D440,,33.0,11.38,290.0
245,B241,,0.0,0.0,289.0
246,C927,,23.0,8.07,285.0
247,C175,,31.0,10.99,282.0
248,C282,,17.0,6.16,276.0
249,B160,,6.0,2.26,266.0
250,D525,,13.0,5.31,245.0
251,C514,,12.0,4.94,243.0
252,C628,,1.0,0.41,241.0
253,C325,,8.0,3.38,237.0
254,C495,,9.0,3.81,236.0
255,D310,,10.0,4.35,230.0
256,B145,,2.0,0.88,228.0
257,C225,,20.0,8.81,227.0
258,C580,,17.0,7.62,223.0
259,C699,,5.0,2.25,222.0
260,A875,,10.0,4.67,214.0
261,A450,,8.0,3.79,211.0
262,A746,,11.0,5.34,206.0
263,B600,,20.0,10.0,200.0
264,D217,,3.0,1.54,195.0
265,B806,,0.0,0.0,190.0
266,B136,,6.0,3.33,180.0
267,C561,,22.0,12.29,179.0
268,B248,,21.0,11.86,177.0
269,D305,,10.0,6.06,165.0
270,C677,,2.0,1.21,165.0
271,D195,,13.0,8.5,153.0
272,B493,,7.0,4.64,151.0
273,C575,,16.0,10.74,149.0
274,B595,,11.0,7.38,149.0
275,A249,,11.0,7.48,147.0
276,C475,,14.0,9.66,145.0
277,B815,,6.0,4.51,133.0
278,A236,,1.0,0.77,130.0
279,D189,,9.0,6.98,129.0
280,B190,,1.0,0.79,127.0
281,D451,,48.0,38.4,125.0
282,C281,,6.0,4.88,123.0
283,C130,,13.0,10.66,122.0
284,C563,,4.0,3.51,114.0
285,B455,,5.0,4.39,114.0
286,C271,,13.0,11.4,114.0
287,C933,,14.0,12.73,110.0
288,B299,,0.0,0.0,104.0
289,B469,,2.0,2.02,99.0
290,D862,,4.0,4.08,98.0
291,C455,,2.0,2.08,96.0
292,D329,,0.0,0.0,93.0
293,C396,,6.0,7.89,76.0
294,C918,,6.0,7.89,76.0
295,C349,,3.0,4.0,75.0
296,B748,,7.0,9.46,74.0
