,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,Corp ID,Corp Name,SpecEd 2016,SpecEd Perc,Enrollment 2016
48,C625,Central Catholic School,Marion,F,44.0,188.0,3.27272727273,9200.0,Archdiocese of Indianapolis,10.0,4.48%,223.0
49,C645,Saint Joan Of Arc School,Marion,A,40.0,177.0,3.425,9200.0,Archdiocese of Indianapolis,45.0,11.54%,390.0
50,C650,Saint Michael The Archangel School,Marion,B,61.0,279.0,3.5737704918,9200.0,Archdiocese of Indianapolis,30.0,8.60%,349.0
51,C655,Saint Philip Neri School,Marion,D,46.0,210.0,3.5652173913,9200.0,Archdiocese of Indianapolis,22.0,8.03%,274.0
52,C665,Saint Simon The Apostle School,Marion,A,,48.0,,9200.0,Archdiocese of Indianapolis,24.0,3.40%,706.0
53,C670,Saint Therese Little Flower School,Marion,C,53.0,224.0,3.22641509434,9200.0,Archdiocese of Indianapolis,19.0,5.97%,318.0
54,C675,Saint Thomas Aquinas School,Marion,B,,48.0,,9200.0,Archdiocese of Indianapolis,25.0,12.02%,208.0
55,C700,Cathedral High School,Marion,A,18.0,250.0,12.8888888889,9200.0,Archdiocese of Indianapolis,61.0,5.15%,1184.0
56,C705,Bishop Chatard High School,Marion,A,19.0,194.0,9.21052631579,9200.0,Archdiocese of Indianapolis,48.0,6.86%,700.0
57,C710,Scecina Memorial School,Marion,B,40.0,311.0,6.775,9200.0,Archdiocese of Indianapolis,5.0,1.11%,449.0
58,C715,Cardinal Ritter High School,Marion,B,61.0,330.0,4.40983606557,9200.0,Archdiocese of Indianapolis,30.0,4.52%,663.0
59,C795,Saint Christopher School,Marion,A,,96.0,,9200.0,Archdiocese of Indianapolis,12.0,5.88%,204.0
60,C900,Saint Charles Borromeo School,Monroe,A,9.0,40.0,3.44444444444,9200.0,Archdiocese of Indianapolis,32.0,8.02%,399.0
61,D130,Saint Louis School,Ripley,A,9.0,87.0,8.66666666667,9200.0,Archdiocese of Indianapolis,28.0,8.36%,335.0
62,D135,Oldenburg Academy,Franklin,A,,63.0,,9200.0,Archdiocese of Indianapolis,6.0,2.86%,210.0
63,D140,Saint Mary Elementary School,Rush,B,,54.0,,9200.0,Archdiocese of Indianapolis,14.0,13.59%,103.0
64,D335,Saint Joseph School,Shelby,C,,42.0,,9200.0,Archdiocese of Indianapolis,7.0,5.26%,133.0
65,D720,Saint Patrick School,Vigo,A,18.0,140.0,6.77777777778,9200.0,Archdiocese of Indianapolis,3.0,0.90%,335.0
66,D840,Saint Elizabeth Ann Seton School,Wayne,A,10.0,155.0,14.5,9200.0,Archdiocese of Indianapolis,16.0,5.54%,289.0
67,D842,Seton Catholic High School,Wayne,B,,80.0,,9200.0,Archdiocese of Indianapolis,15.0,9.74%,154.0
68,B755,Aquinas School at Saint Andrew's,Lake,B,11.0,79.0,6.18181818182,9205.0,Diocese of Gary,4.0,3.31%,121.0
