,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
64,B015,Bethany Christian School,Elkhart,158,14.0,4.75,295.0,A,2275,Middlebury Community Schools
65,B015,Bethany Christian School,Elkhart,158,14.0,4.75,295.0,A,2285,Wa-Nee Community Schools
66,B015,Bethany Christian School,Elkhart,158,14.0,4.75,295.0,A,4415,Warsaw Community Schools
67,B015,Bethany Christian School,Elkhart,158,14.0,4.75,295.0,A,4525,Westview School Corporation
68,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,3315,Avon Community School Corporation
69,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,3305,Brownsburg Community School Corporation
70,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5855,Crawfordsville Community Schools
71,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,3325,Danville Community School Corporation
72,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5385,Indianapolis Public Schools
73,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,665,Lebanon Community School Corporation
74,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5330,M S D Lawrence Township
75,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5350,M S D Pike Township
76,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5375,M S D Wayne Township
77,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5835,North Montgomery Community School Corporation
78,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,3295,North West Hendricks Schools
79,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,3330,Plainfield Community School Corporation
80,B290,Bethesda Christian School,Hendricks,110,16.0,5.0,320.0,B,5400,School Town of Speedway
81,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,3305,Brownsburg Community School Corporation
82,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,3060,Carmel Clay Schools
83,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,4205,Center Grove Community School Corporation
84,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,3005,Hamilton Southeastern Schools
85,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,5385,Indianapolis Public Schools
86,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,5330,M S D Lawrence Township
87,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,5350,M S D Pike Township
88,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,5360,M S D Warren Township
89,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,5370,M S D Washington Township
90,C705,Bishop Chatard High School,Marion,194,48.0,6.86,700.0,A,630,Zionsville Community Schools
91,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,6055,Central Noble Community School Corporation
92,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,1835,DeKalb County Central United School District
93,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,255,East Allen County Schools
94,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,6060,East Noble School Corporation
95,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,235,Fort Wayne Community Schools
96,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,1820,Garrett-Keyser-Butler Community
97,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,125,M S D Southwest Allen County
98,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,8435,Northern Wells Community Schools
99,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,225,Northwest Allen County Schools
100,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,4515,Prairie Heights Community School Corporation
101,A120,Bishop Dwenger High School,Allen,450,59.0,5.49,1075.0,A,8665,Whitley County Consolidated Schools
102,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,1835,DeKalb County Central United School District
103,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,255,East Allen County Schools
104,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,235,Fort Wayne Community Schools
105,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,3625,Huntington County Community School Corporation
106,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,125,M S D Southwest Allen County
107,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,25,North Adams Community Schools
108,A125,Bishop Luers High School,Allen,391,38.0,6.16,617.0,B,225,Northwest Allen County Schools
109,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4660,Crown Point Community School Corporation
110,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4690,Gary Community School Corporation
111,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4700,Griffith Public Schools
112,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4615,Lake Central School Corporation
113,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4680,Lake Station Community Schools
114,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4600,Merrillville Community School
115,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4670,School City of East Chicago
116,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4710,School City of Hammond
117,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4720,School Town of Highland
118,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4740,School Town of Munster
119,B970,Bishop Noll Institute,Lake,276,2.0,0.38,528.0,B,4760,Whiting School City
120,A172,Blackhawk Christian Elementary School,Allen,246,12.0,3.06,392.0,A,1835,DeKalb County Central United School District
121,A172,Blackhawk Christian Elementary School,Allen,246,12.0,3.06,392.0,A,255,East Allen County Schools
122,A172,Blackhawk Christian Elementary School,Allen,246,12.0,3.06,392.0,A,235,Fort Wayne Community Schools
123,A172,Blackhawk Christian Elementary School,Allen,246,12.0,3.06,392.0,A,3625,Huntington County Community School Corporation
124,A172,Blackhawk Christian Elementary School,Allen,246,12.0,3.06,392.0,A,225,Northwest Allen County Schools
125,A170,Blackhawk Christian Jr/Sr High School,Allen,156,5.0,1.43,350.0,A,255,East Allen County Schools
126,A170,Blackhawk Christian Jr/Sr High School,Allen,156,5.0,1.43,350.0,A,235,Fort Wayne Community Schools
127,A170,Blackhawk Christian Jr/Sr High School,Allen,156,5.0,1.43,350.0,A,3625,Huntington County Community School Corporation
