,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
459,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,2305,Elkhart Community Schools
460,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,2315,Goshen Community Schools
461,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,4535,Lakeland School Corporation
462,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,2275,Middlebury Community Schools
463,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,7175,Penn-Harris-Madison School Corporation
464,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,7200,School City of Mishawaka
465,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,7205,South Bend Community School Corporation
466,A990,Elkhart Christian Academy,Elkhart,236,30.0,5.64,532.0,B,2285,Wa-Nee Community Schools
467,B160,Eman Schools,Hamilton,121,6.0,2.26,266.0,A,3005,Hamilton Southeastern Schools
468,B160,Eman Schools,Hamilton,121,6.0,2.26,266.0,A,5385,Indianapolis Public Schools
469,B160,Eman Schools,Hamilton,121,6.0,2.26,266.0,A,5330,M S D Lawrence Township
470,B160,Eman Schools,Hamilton,121,6.0,2.26,266.0,A,5370,M S D Washington Township
471,B160,Eman Schools,Hamilton,121,6.0,2.26,266.0,A,3070,Noblesville Schools
472,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,255,East Allen County Schools
473,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,235,Fort Wayne Community Schools
474,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,3625,Huntington County Community School Corporation
475,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,125,M S D Southwest Allen County
476,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,225,Northwest Allen County Schools
477,A215,Emmanuel Saint Michael Lutheran School,Allen,162,22.0,6.4,344.0,A,8665,Whitley County Consolidated Schools
478,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,255,East Allen County Schools
479,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,235,Fort Wayne Community Schools
480,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,3625,Huntington County Community School Corporation
481,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,125,M S D Southwest Allen County
482,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,8435,Northern Wells Community Schools
483,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,225,Northwest Allen County Schools
484,A220,Emmaus Lutheran School,Allen,94,3.0,1.55,193.0,A,8665,Whitley County Consolidated Schools
485,C680,Emmaus Lutheran School,Marion,14,2.0,10.53,19.0,No Grade,5385,Indianapolis Public Schools
486,C680,Emmaus Lutheran School,Marion,14,2.0,10.53,19.0,No Grade,5330,M S D Lawrence Township
487,C680,Emmaus Lutheran School,Marion,14,2.0,10.53,19.0,No Grade,5360,M S D Warren Township
488,D485,Evansville Christian School,Vanderburgh,330,37.0,5.4,685.0,A,7995,Evansville Vanderburgh School Corporation
489,D485,Evansville Christian School,Vanderburgh,330,37.0,5.4,685.0,A,2735,North Gibson School Corporation
490,D485,Evansville Christian School,Vanderburgh,330,37.0,5.4,685.0,A,8130,Warrick County School Corporation
491,D525,Evansville Day School,Vanderburgh,38,13.0,5.31,245.0,A,7995,Evansville Vanderburgh School Corporation
492,D525,Evansville Day School,Vanderburgh,38,13.0,5.31,245.0,A,8130,Warrick County School Corporation
493,D625,Evansville Lutheran School,Vanderburgh,111,25.0,14.79,169.0,B,7995,Evansville Vanderburgh School Corporation
494,D625,Evansville Lutheran School,Vanderburgh,111,25.0,14.79,169.0,B,8130,Warrick County School Corporation
495,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4690,Gary Community School Corporation
496,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4700,Griffith Public Schools
497,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4615,Lake Central School Corporation
498,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4650,Lake Ridge Schools
499,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4600,Merrillville Community School
500,B748,Faith Academy,Lake,65,7.0,9.46,74.0,D,4670,School City of East Chicago
501,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,395,Benton Community School Corporation
502,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,750,Carroll Consolidated School Corporation
503,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,1160,Clinton Prairie School Corporation
504,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,1170,Community Schools of Frankfort
505,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,5855,Crawfordsville Community Schools
506,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,755,Delphi Community School Corporation
507,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,8525,Frontier School Corporation
508,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,7855,Lafayette School Corporation
509,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,5835,North Montgomery Community School Corporation
510,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,8515,North White School Corporation
511,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,1180,Rossville Consolidated School District
512,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,7865,Tippecanoe School Corporation
513,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,8565,Twin Lakes School Corporation
514,D452,Faith Christian School,Tippecanoe,243,43.0,7.19,598.0,A,7875,West Lafayette Community School Corporation
515,B161,Fishers Christian Academy,Hamilton,42,2.0,3.7,54.0,B,3025,Hamilton Heights School Corporation
516,B161,Fishers Christian Academy,Hamilton,42,2.0,3.7,54.0,B,3005,Hamilton Southeastern Schools
517,B161,Fishers Christian Academy,Hamilton,42,2.0,3.7,54.0,B,5370,M S D Washington Township
518,B161,Fishers Christian Academy,Hamilton,42,2.0,3.7,54.0,B,3070,Noblesville Schools
519,B161,Fishers Christian Academy,Hamilton,42,2.0,3.7,54.0,B,5255,South Madison Community School Corporation
520,B565,Flaget Elementary School,Knox,77,18.0,6.87,262.0,B,4315,North Knox School Corporation
521,B565,Flaget Elementary School,Knox,77,18.0,6.87,262.0,B,6445,Pike County School Corporation
522,B565,Flaget Elementary School,Knox,77,18.0,6.87,262.0,B,4325,South Knox School Corporation
523,B565,Flaget Elementary School,Knox,77,18.0,6.87,262.0,B,4335,Vincennes Community School Corporation
524,A724,Good Shepherd Christian Academy,Decatur,40,13.0,17.57,74.0,D,1655,Decatur County Community Schools
525,A724,Good Shepherd Christian Academy,Decatur,40,13.0,17.57,74.0,D,1730,Greensburg Community Schools
526,A724,Good Shepherd Christian Academy,Decatur,40,13.0,17.57,74.0,D,6995,Rush County Schools
527,A724,Good Shepherd Christian Academy,Decatur,40,13.0,17.57,74.0,D,7775,Switzerland County School Corporation
528,D555,Good Shepherd School,Vanderburgh,91,25.0,7.14,350.0,A,7995,Evansville Vanderburgh School Corporation
529,D555,Good Shepherd School,Vanderburgh,91,25.0,7.14,350.0,A,8130,Warrick County School Corporation
530,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,3710,Crothersville Community Schools
531,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,3995,Madison Consolidated Schools
532,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,8205,Salem Community Schools
533,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,7230,Scott County School District I
534,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,7255,Scott County School District II
535,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,3675,Seymour Community Schools
536,D329,Grace Christian Academy,Scott,77,0.0,0.0,93.0,B,940,West Clark Community Schools
537,D310,Granger Christian School,St Joseph,114,10.0,4.35,230.0,A,2305,Elkhart Community Schools
538,D310,Granger Christian School,St Joseph,114,10.0,4.35,230.0,A,7175,Penn-Harris-Madison School Corporation
539,D310,Granger Christian School,St Joseph,114,10.0,4.35,230.0,A,7200,School City of Mishawaka
540,D310,Granger Christian School,St Joseph,114,10.0,4.35,230.0,A,7205,South Bend Community School Corporation
541,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,4205,Center Grove Community School Corporation
542,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,4145,Clark-Pleasant Community School Corporation
543,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,4225,Franklin Community School Corporation
544,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5310,Franklin Township Community School Corporation
545,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,4245,Greenwood Community School Corporation
546,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5385,Indianapolis Public Schools
547,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5300,M S D Decatur Township
548,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5925,M S D Martinsville Schools
549,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5340,M S D Perry Township
550,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,5930,Mooresville Consolidated School Corporation
551,C966,Greenwood Christian Academy,Johnson,230,18.0,3.09,583.0,B,4255,Nineveh-Hensley-Jackson United Corporation
552,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,5275,Anderson Community School Corporation
553,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3060,Carmel Clay Schools
554,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,5280,Elwood Community School Corporation
555,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3005,Hamilton Southeastern Schools
556,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3500,Kokomo-Center Township Consolidated School Corporation
557,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,5330,M S D Lawrence Township
558,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,5370,M S D Washington Township
559,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3070,Noblesville Schools
560,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3460,Taylor Community School Corporation
561,B249,Guerin Catholic High School,Hamilton,59,37.0,4.88,758.0,A,3030,Westfield-Washington Schools
562,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,3305,Brownsburg Community School Corporation
563,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,3060,Carmel Clay Schools
564,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,5350,M S D Pike Township
565,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,5370,M S D Washington Township
566,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,5375,M S D Wayne Township
567,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37,14.0,9.66,145.0,A,3030,Westfield-Washington Schools
568,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3315,Avon Community School Corporation
569,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5380,Beech Grove City Schools
570,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3060,Carmel Clay Schools
571,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5310,Franklin Township Community School Corporation
572,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3005,Hamilton Southeastern Schools
573,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5385,Indianapolis Public Schools
574,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5300,M S D Decatur Township
575,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5330,M S D Lawrence Township
576,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5350,M S D Pike Township
577,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5360,M S D Warren Township
578,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5370,M S D Washington Township
579,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,5375,M S D Wayne Township
580,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3135,Mount Vernon Community School Corporation
581,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,1970,Muncie Community Schools
582,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3070,Noblesville Schools
583,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3490,Western School Corporation
584,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,3030,Westfield-Washington Schools
585,C275,Heritage Christian School,Marion,313,30.0,2.52,1189.0,A,630,Zionsville Community Schools
586,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,5275,Anderson Community School Corporation
587,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,3405,Blue River Valley Schools
588,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1900,Cowan Community School Corporation
589,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1940,Daleville Community Schools
590,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1875,Delaware Community School Corporation
591,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,5245,Frankton-Lapel Community Schools
592,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1895,Liberty-Perry Community School Corporation
593,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,2855,Mississinewa Community School Corporation
594,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1970,Muncie Community Schools
595,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,8305,Nettle Creek School Corporation
596,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,3445,New Castle Community School Corporation
597,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,3435,Shenandoah School Corporation
598,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,3415,South Henry School Corporation
599,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,5255,South Madison Community School Corporation
600,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1885,Wes-Del Community Schools
601,A746,Heritage Hall Christian School,Delaware,115,11.0,5.34,206.0,A,1910,Yorktown Community Schools
602,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4660,Crown Point Community School Corporation
603,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4690,Gary Community School Corporation
604,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4700,Griffith Public Schools
605,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4615,Lake Central School Corporation
606,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4650,Lake Ridge Schools
607,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4600,Merrillville Community School
608,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4670,School City of East Chicago
609,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4710,School City of Hammond
610,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4730,School City of Hobart
611,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4720,School Town of Highland
612,C020,Highland Christian School,Lake,164,13.0,3.77,345.0,B,4740,School Town of Munster
613,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,3305,Brownsburg Community School Corporation
614,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,5385,Indianapolis Public Schools
615,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,5350,M S D Pike Township
616,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,5360,M S D Warren Township
617,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,5370,M S D Washington Township
618,C590,Holy Angels Catholic School,Marion,70,13.0,13.4,97.0,D,5375,M S D Wayne Township
619,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5380,Beech Grove City Schools
620,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,3305,Brownsburg Community School Corporation
621,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5310,Franklin Township Community School Corporation
622,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5385,Indianapolis Public Schools
623,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5300,M S D Decatur Township
624,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5330,M S D Lawrence Township
625,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5340,M S D Perry Township
626,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5360,M S D Warren Township
627,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5375,M S D Wayne Township
628,C595,Holy Cross Central School,Marion,195,15.0,5.95,252.0,F,5930,Mooresville Consolidated School Corporation
629,A225,Holy Cross Lutheran School,Allen,202,26.0,6.31,412.0,B,255,East Allen County Schools
630,A225,Holy Cross Lutheran School,Allen,202,26.0,6.31,412.0,B,6060,East Noble School Corporation
631,A225,Holy Cross Lutheran School,Allen,202,26.0,6.31,412.0,B,235,Fort Wayne Community Schools
632,A225,Holy Cross Lutheran School,Allen,202,26.0,6.31,412.0,B,125,M S D Southwest Allen County
633,A225,Holy Cross Lutheran School,Allen,202,26.0,6.31,412.0,B,225,Northwest Allen County Schools
634,C267,Holy Cross Lutheran School,Marion,36,24.0,10.0,240.0,A,3005,Hamilton Southeastern Schools
635,C267,Holy Cross Lutheran School,Marion,36,24.0,10.0,240.0,A,5330,M S D Lawrence Township
636,C267,Holy Cross Lutheran School,Marion,36,24.0,10.0,240.0,A,5360,M S D Warren Township
637,C267,Holy Cross Lutheran School,Marion,36,24.0,10.0,240.0,A,3135,Mount Vernon Community School Corporation
638,B115,Holy Cross School,Gibson,29,19.0,13.1,145.0,A,6600,M S D North Posey County Schools
639,B115,Holy Cross School,Gibson,29,19.0,13.1,145.0,A,2735,North Gibson School Corporation
640,B115,Holy Cross School,Gibson,29,19.0,13.1,145.0,A,2765,South Gibson School Corporation
641,C211,Holy Cross School,Madison,165,14.0,6.64,211.0,,5275,Anderson Community School Corporation
642,C211,Holy Cross School,Madison,165,14.0,6.64,211.0,,1940,Daleville Community Schools
643,C211,Holy Cross School,Madison,165,14.0,6.64,211.0,,3125,Greenfield-Central Community Schools
644,C211,Holy Cross School,Madison,165,14.0,6.64,211.0,,5255,South Madison Community School Corporation
645,D240,Holy Cross School,St Joseph,153,21.0,9.91,212.0,C,7205,South Bend Community School Corporation
646,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,1000,Clarksville Community School Corporation
647,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,1010,Greater Clark County Schools
648,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,3160,Lanesville Community School Corporation
649,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,2400,New Albany-Floyd County Consolidated School Corporation
650,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,3180,North Harrison Community School Corporation
651,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,3190,South Harrison Community Schools
652,B050,Holy Family School,Floyd,58,18.0,5.31,339.0,B,940,West Clark Community Schools
653,D245,Holy Family School,St Joseph,157,12.0,4.6,261.0,C,7205,South Bend Community School Corporation
654,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,5380,Beech Grove City Schools
655,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,3305,Brownsburg Community School Corporation
656,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,5310,Franklin Township Community School Corporation
657,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,4245,Greenwood Community School Corporation
658,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,5385,Indianapolis Public Schools
659,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,5340,M S D Perry Township
660,C545,Holy Name School,Marion,133,30.0,11.19,268.0,B,5360,M S D Warren Township
661,D560,Holy Redeemer School,Vanderburgh,102,18.0,8.22,219.0,B,7995,Evansville Vanderburgh School Corporation
662,D565,Holy Rosary School,Vanderburgh,123,26.0,7.37,353.0,A,7995,Evansville Vanderburgh School Corporation
663,D565,Holy Rosary School,Vanderburgh,123,26.0,7.37,353.0,A,8130,Warrick County School Corporation
664,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5380,Beech Grove City Schools
665,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,4205,Center Grove Community School Corporation
666,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5310,Franklin Township Community School Corporation
667,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,3125,Greenfield-Central Community Schools
668,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5385,Indianapolis Public Schools
669,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5300,M S D Decatur Township
670,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5330,M S D Lawrence Township
671,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,5360,M S D Warren Township
672,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,3135,Mount Vernon Community School Corporation
673,C390,Holy Spirit School,Marion,254,20.0,4.95,404.0,B,3115,Southern Hancock County Community School Corporation
674,D570,Holy Spirit School,Vanderburgh,123,45.0,25.86,174.0,B,7995,Evansville Vanderburgh School Corporation
675,A871,Holy Trinity Catholic School,Dubois,82,39.0,11.14,350.0,A,2120,Greater Jasper Consolidated Schools
676,A871,Holy Trinity Catholic School,Dubois,82,39.0,11.14,350.0,A,5740,Monroe County Community School Corporation
677,A871,Holy Trinity Catholic School,Dubois,82,39.0,11.14,350.0,A,7385,North Spencer County School Corporation
678,A871,Holy Trinity Catholic School,Dubois,82,39.0,11.14,350.0,A,2040,Northeast Dubois County School Corporation
679,A871,Holy Trinity Catholic School,Dubois,82,39.0,11.14,350.0,A,2110,Southwest Dubois County School Corporation
680,A307,Horizon Christian Academy III,Allen,433,60.0,12.2,492.0,D,255,East Allen County Schools
681,A307,Horizon Christian Academy III,Allen,433,60.0,12.2,492.0,D,235,Fort Wayne Community Schools
682,A307,Horizon Christian Academy III,Allen,433,60.0,12.2,492.0,D,125,M S D Southwest Allen County
683,A307,Horizon Christian Academy III,Allen,433,60.0,12.2,492.0,D,225,Northwest Allen County Schools
684,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,1655,Decatur County Community Schools
685,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5310,Franklin Township Community School Corporation
686,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,3125,Greenfield-Central Community Schools
687,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,3005,Hamilton Southeastern Schools
688,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5385,Indianapolis Public Schools
689,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5330,M S D Lawrence Township
690,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,6590,M S D Mount Vernon
691,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5350,M S D Pike Township
692,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5360,M S D Warren Township
693,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5370,M S D Washington Township
694,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,3135,Mount Vernon Community School Corporation
695,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,4805,New Prairie United School Corporation
696,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,3070,Noblesville Schools
697,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,5255,South Madison Community School Corporation
698,C282,Horizon Christian School,Marion,157,17.0,6.16,276.0,B,3115,Southern Hancock County Community School Corporation
699,C563,Horizon Christian School-Shepherd Campus,Marion,100,4.0,3.51,114.0,F,5385,Indianapolis Public Schools
700,C563,Horizon Christian School-Shepherd Campus,Marion,100,4.0,3.51,114.0,F,5835,North Montgomery Community School Corporation
701,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,3060,Carmel Clay Schools
702,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,3005,Hamilton Southeastern Schools
703,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,4580,Hanover Community School Corporation
704,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,4615,Lake Central School Corporation
705,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,4535,Lakeland School Corporation
706,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,5370,M S D Washington Township
707,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,4600,Merrillville Community School
708,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,3070,Noblesville Schools
709,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,225,Northwest Allen County Schools
710,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,6995,Rush County Schools
711,B725,Howe School,LaGrange,14,15.0,20.83,72.0,B,7205,South Bend Community School Corporation
712,B418,Huntington Catholic School,Huntington,75,15.0,13.76,109.0,C,3625,Huntington County Community School Corporation
713,B418,Huntington Catholic School,Huntington,75,15.0,13.76,109.0,C,8045,Manchester Community Schools
714,C600,Immaculate Heart of Mary School,Marion,9,33.0,7.62,433.0,B,5330,M S D Lawrence Township
715,C600,Immaculate Heart of Mary School,Marion,9,33.0,7.62,433.0,B,5370,M S D Washington Township
716,C600,Immaculate Heart of Mary School,Marion,9,33.0,7.62,433.0,B,3330,Plainfield Community School Corporation
717,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,365,Bartholomew Consolidated School Corporation
718,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,3695,Brownstown Central Community School Corporation
719,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,3710,Crothersville Community Schools
720,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,4015,Jennings County Schools
721,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,7255,Scott County School District II
722,B445,Immanuel Lutheran School,Jackson,104,36.0,11.15,323.0,A,3675,Seymour Community Schools
723,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,5275,Anderson Community School Corporation
724,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,365,Bartholomew Consolidated School Corporation
725,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,3060,Carmel Clay Schools
726,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,4205,Center Grove Community School Corporation
727,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,1125,Clay Community Schools
728,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,1170,Community Schools of Frankfort
729,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,255,East Allen County Schools
730,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,2940,Eastern Greene Schools
731,B190,Indiana Academy,Hamilton,90,1.0,0.79,127.0,F,7995,Evansville Vanderburgh School Corporation
