,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc,District Name,Public SpecEd 2016,Public SpecEd Perc,Public Enrollment 2016
172,5845,241.0,40.0,740.0,5.41,South Montgomery Com Sch Corp,300.0,17.86%,1680.0
179,5995,,,,,South Newton School Corp,144.0,16.90%,852.0
284,6705,,,,,South Putnam Community Schools,187.0,16.48%,1135.0
207,6865,279.0,53.0,806.0,6.58,South Ripley Com Sch Corp,209.0,18.30%,1142.0
224,7445,273.0,47.0,810.0,5.8,South Spencer County Sch Corp,213.0,17.39%,1225.0
242,8020,,,,,South Vermillion Com Sch Corp,319.0,18.20%,1753.0
29,2100,,,,,Southeast Dubois Co Sch Corp,160.0,12.46%,1284.0
45,2455,19.0,3.0,56.0,5.36,Southeast Fountain School Corp,138.0,12.90%,1070.0
249,815,150.0,38.0,267.0,14.23,Southeastern School Corp,143.0,10.68%,1339.0
65,3115,1723.0,364.0,4918.0,7.4,Southern Hancock Co Com Sch Corp,522.0,14.78%,3532.0
289,8425,,,,,Southern Wells Com Schools,118.0,14.06%,839.0
30,2110,82.0,39.0,350.0,11.14,Southwest Dubois Co Sch Corp,219.0,12.67%,1728.0
279,6260,,,,,Southwest Parke Com Sch Corp,212.0,20.85%,1017.0
288,7715,,,,,Southwest School Corporation,243.0,14.00%,1736.0
221,7360,536.0,143.0,1762.0,8.12,Southwestern Con Sch Shelby Co,77.0,12.90%,597.0
100,4000,300.0,25.0,617.0,4.05,Southwestern-Jefferson Co Con,206.0,15.43%,1335.0
185,6195,444.0,93.0,1096.0,8.49,Spencer-Owen Community Schools,563.0,21.77%,2586.0
278,6160,,,,,Springs Valley Com School Corp,163.0,19.15%,851.0
388,9980,,,,,Steel City Academy,23.0,15.13%,152.0
384,9960,,,,,Success Academy Primary School,83.0,17.47%,475.0
13,1560,230.0,56.0,814.0,6.88,Sunman-Dearborn Com Sch Corp,589.0,15.45%,3812.0
233,7775,111.0,20.0,229.0,8.73,Switzerland County School Corp,302.0,19.82%,1524.0
82,3460,534.0,202.0,2132.0,9.47,Taylor Community School Corp,264.0,20.50%,1288.0
282,6350,,,,,Tell City-Troy Twp School Corp,249.0,16.97%,1467.0
361,9835,,,,,The Bloomington Project School,69.0,24.82%,278.0
320,9460,,,,,Thea Bowman Leadership Academy,119.0,9.92%,1199.0
350,9740,,,,,Thurgood Marshall Leadership Acad,0.0,0.00%,158.0
306,9350,,,,,Timothy L Johnson Academy,34.0,10.76%,316.0
380,9940,,,,,Tindley Collegiate Academy,34.0,12.64%,269.0
316,9425,,,,,Tindley Genesis Academy,31.0,14.35%,216.0
351,9745,,,,,Tindley Preparatory Academy,37.0,19.58%,189.0
381,9945,,,,,Tindley Renaissance Academy,52.0,9.56%,544.0
317,9430,,,,,Tindley Summit Academy,34.0,11.18%,304.0
235,7865,1209.0,277.0,3232.0,8.57,Tippecanoe School Corp,1776.0,13.64%,13021.0
113,4445,174.0,31.0,349.0,8.88,Tippecanoe Valley School Corp,339.0,18.42%,1840.0
238,7945,501.0,165.0,1628.0,10.14,Tipton Community School Corp,232.0,14.24%,1629.0
237,7935,,,,,Tri-Central Community Schools,124.0,15.64%,793.0
262,8535,438.0,53.0,900.0,5.89,Tri-County School Corporation,141.0,19.11%,738.0
122,4645,685.0,73.0,2683.0,2.72,Tri-Creek School Corporation,380.0,11.53%,3297.0
136,4915,160.0,5.0,296.0,1.69,Tri-Township Cons School Corp,58.0,15.30%,379.0
163,5495,55.0,11.0,149.0,7.38,Triton School Corporation,73.0,8.25%,885.0
263,8565,473.0,77.0,1160.0,6.64,Twin Lakes School Corp,309.0,12.92%,2392.0
239,7950,124.0,16.0,217.0,7.37,Union Co/Clg Corner Joint Sch Dist,213.0,15.21%,1400.0
202,6795,80.0,16.0,197.0,8.12,Union School Corporation,38.0,14.84%,256.0
192,6530,267.0,22.0,303.0,7.26,Union Township School Corp,232.0,15.95%,1455.0
216,7215,684.0,93.0,1254.0,7.42,Union-North United School Corp,154.0,13.57%,1135.0
194,6560,740.0,75.0,1526.0,4.91,Valparaiso Community Schools,896.0,14.31%,6261.0
308,9360,,,,,Veritas Academy,12.0,13.33%,90.0
243,8030,154.0,4.0,350.0,1.14,Vigo County School Corp,2699.0,18.37%,14689.0
110,4335,233.0,38.0,585.0,6.5,Vincennes Community School Corp,452.0,16.82%,2687.0
379,9935,,,,,Vision Academy,74.0,16.86%,439.0
37,2285,1307.0,224.0,3010.0,7.44,Wa-Nee Community Schools,341.0,11.48%,2970.0
246,8060,47.0,4.0,76.0,5.26,Wabash City Schools,266.0,17.65%,1507.0
248,8130,1421.0,293.0,4352.0,6.73,Warrick County School Corp,1830.0,17.82%,10272.0
112,4415,391.0,93.0,836.0,11.12,Warsaw Community Schools,1011.0,14.39%,7024.0
11,1405,234.0,30.0,359.0,8.36,Washington Community Schools,569.0,22.03%,2583.0
111,4345,306.0,55.0,634.0,8.68,Wawasee Community School Corp,501.0,16.45%,3045.0
22,1885,319.0,26.0,537.0,4.84,Wes-Del Community Schools,130.0,15.91%,817.0
198,6630,419.0,69.0,1018.0,6.78,West Central School Corp,151.0,18.33%,824.0
267,940,893.0,208.0,3076.0,6.76,West Clark Community Schools,670.0,14.07%,4761.0
236,7875,928.0,230.0,2599.0,8.85,West Lafayette Com School Corp,222.0,9.46%,2347.0
182,6065,276.0,114.0,1012.0,11.26,West Noble School Corporation,295.0,12.28%,2402.0
252,8220,260.0,45.0,800.0,5.63,West Washington School Corp,150.0,18.89%,794.0
184,615,225.0,51.0,616.0,8.28,Western Boone Co Com Sch Dist,279.0,16.33%,1709.0
85,3490,788.0,195.0,2563.0,7.61,Western School Corporation,352.0,13.08%,2692.0
254,8355,277.0,29.0,526.0,5.51,Western Wayne Schools,133.0,12.90%,1031.0
61,3030,1801.0,377.0,6828.0,5.52,Westfield-Washington Schools,1145.0,15.09%,7590.0
116,4525,291.0,24.0,509.0,4.72,Westview School Corporation,343.0,15.18%,2259.0
58,2980,124.0,17.0,223.0,7.62,White River Valley School District,118.0,14.75%,800.0
114,4455,401.0,57.0,842.0,6.77,Whitko Community School Corp,288.0,19.79%,1455.0
265,8665,2387.0,274.0,5083.0,5.39,Whitley County Con Schools,630.0,17.85%,3529.0
363,9845,,,,,Xavier School of Excellence,38.0,17.76%,214.0
25,1910,170.0,20.0,357.0,5.6,Yorktown Community Schools,281.0,11.09%,2534.0
186,630,1595.0,301.0,6048.0,4.98,Zionsville Community Schools,813.0,11.73%,6931.0
268,None,261.0,216.0,3100.0,6.97,,,,
