,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc
76,3330,1787.0,289.0,4579.0,6.31
77,3335,341.0,72.0,1045.0,6.89
78,3405,170.0,20.0,357.0,5.6
79,3415,169.0,25.0,309.0,8.09
80,3435,627.0,86.0,1009.0,8.52
81,3445,115.0,11.0,206.0,5.34
82,3460,534.0,202.0,2132.0,9.47
83,3470,475.0,165.0,1374.0,12.01
84,3480,49.0,13.0,95.0,13.68
85,3490,788.0,195.0,2563.0,7.61
86,35,276.0,114.0,1012.0,11.26
87,3500,683.0,208.0,2312.0,9.0
88,3625,2398.0,216.0,4159.0,5.19
89,3640,86.0,5.0,114.0,4.39
90,365,1072.0,224.0,3058.0,7.33
91,3675,402.0,91.0,1036.0,8.78
92,3695,430.0,112.0,1255.0,8.92
93,370,366.0,60.0,1025.0,5.85
94,3710,385.0,66.0,818.0,8.07
95,3785,593.0,149.0,1705.0,8.74
96,3815,198.0,28.0,515.0,5.44
97,3945,238.0,33.0,350.0,9.43
98,395,834.0,243.0,2362.0,10.29
99,3995,377.0,25.0,710.0,3.52
100,4000,300.0,25.0,617.0,4.05
101,4015,781.0,145.0,1990.0,7.29
102,4145,1959.0,401.0,5183.0,7.74
103,4205,2976.0,602.0,7730.0,7.79
104,4215,212.0,24.0,302.0,7.95
105,4225,1570.0,335.0,4516.0,7.42
106,4245,2650.0,569.0,7550.0,7.54
107,4255,1045.0,170.0,2601.0,6.54
108,4315,233.0,38.0,585.0,6.5
109,4325,124.0,22.0,413.0,5.33
110,4335,233.0,38.0,585.0,6.5
111,4345,306.0,55.0,634.0,8.68
112,4415,391.0,93.0,836.0,11.12
113,4445,174.0,31.0,349.0,8.88
114,4455,401.0,57.0,842.0,6.77
115,4515,450.0,59.0,1075.0,5.49
116,4525,291.0,24.0,509.0,4.72
117,4535,458.0,68.0,965.0,7.05
118,4580,419.0,58.0,1837.0,3.16
119,4590,696.0,45.0,1596.0,2.82
120,4600,2500.0,167.0,5367.0,3.11
121,4615,1836.0,202.0,5431.0,3.72
