,Corp ID,Corp Name,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,SpecEd 2016,SpecEd Perc,Enrollment 2016,Voucher Perc
46,9200.0,Archdiocese of Indianapolis,C615,Saint Anthony Catholic School,Marion,C,9.0,200.0,21.2222222222,9.0,3.69,244.0,81.97
47,9200.0,Archdiocese of Indianapolis,C623,Providence Cristo Rey High School,Marion,B,65.0,246.0,2.78461538462,0.0,0.0,256.0,96.09
48,9200.0,Archdiocese of Indianapolis,C625,Central Catholic School,Marion,F,44.0,188.0,3.27272727273,10.0,4.48,223.0,84.3
49,9200.0,Archdiocese of Indianapolis,C645,Saint Joan Of Arc School,Marion,A,40.0,177.0,3.425,45.0,11.54,390.0,45.38
50,9200.0,Archdiocese of Indianapolis,C650,Saint Michael The Archangel School,Marion,B,61.0,279.0,3.5737704918,30.0,8.6,349.0,79.94
51,9200.0,Archdiocese of Indianapolis,C655,Saint Philip Neri School,Marion,D,46.0,210.0,3.5652173913,22.0,8.03,274.0,76.64
52,9200.0,Archdiocese of Indianapolis,C665,Saint Simon The Apostle School,Marion,A,,48.0,,24.0,3.4,706.0,6.8
53,9200.0,Archdiocese of Indianapolis,C670,Saint Therese Little Flower School,Marion,C,53.0,224.0,3.22641509434,19.0,5.97,318.0,70.44
54,9200.0,Archdiocese of Indianapolis,C675,Saint Thomas Aquinas School,Marion,B,,48.0,,25.0,12.02,208.0,23.08
55,9200.0,Archdiocese of Indianapolis,C700,Cathedral High School,Marion,A,18.0,250.0,12.8888888889,61.0,5.15,1184.0,21.11
56,9200.0,Archdiocese of Indianapolis,C705,Bishop Chatard High School,Marion,A,19.0,194.0,9.21052631579,48.0,6.86,700.0,27.71
57,9200.0,Archdiocese of Indianapolis,C710,Scecina Memorial School,Marion,B,40.0,311.0,6.775,5.0,1.11,449.0,69.27
58,9200.0,Archdiocese of Indianapolis,C715,Cardinal Ritter High School,Marion,B,61.0,330.0,4.40983606557,30.0,4.52,663.0,49.77
59,9200.0,Archdiocese of Indianapolis,C795,Saint Christopher School,Marion,A,,96.0,,12.0,5.88,204.0,47.06
60,9200.0,Archdiocese of Indianapolis,C900,Saint Charles Borromeo School,Monroe,A,9.0,40.0,3.44444444444,32.0,8.02,399.0,10.03
61,9200.0,Archdiocese of Indianapolis,D130,Saint Louis School,Ripley,A,9.0,87.0,8.66666666667,28.0,8.36,335.0,25.97
62,9200.0,Archdiocese of Indianapolis,D135,Oldenburg Academy,Franklin,A,,63.0,,6.0,2.86,210.0,30.0
63,9200.0,Archdiocese of Indianapolis,D140,Saint Mary Elementary School,Rush,B,,54.0,,14.0,13.59,103.0,52.43
64,9200.0,Archdiocese of Indianapolis,D335,Saint Joseph School,Shelby,C,,42.0,,7.0,5.26,133.0,31.58
65,9200.0,Archdiocese of Indianapolis,D720,Saint Patrick School,Vigo,A,18.0,140.0,6.77777777778,3.0,0.9,335.0,41.79
66,9200.0,Archdiocese of Indianapolis,D840,Saint Elizabeth Ann Seton School,Wayne,A,10.0,155.0,14.5,16.0,5.54,289.0,53.63
67,9200.0,Archdiocese of Indianapolis,D842,Seton Catholic High School,Wayne,B,,80.0,,15.0,9.74,154.0,51.95
68,9205.0,Diocese of Gary,B755,Aquinas School at Saint Andrew's,Lake,B,11.0,79.0,6.18181818182,4.0,3.31,121.0,65.29
69,9205.0,Diocese of Gary,B760,Andrean High School,Lake,A,41.0,161.0,2.92682926829,5.0,1.02,492.0,32.72
70,9205.0,Diocese of Gary,B775,Saint Michael School,Lake,B,,25.0,,10.0,4.41,227.0,11.01
71,9205.0,Diocese of Gary,B780,Saint John Evangelist School,Lake,A,9.0,34.0,2.77777777778,21.0,5.65,372.0,9.14
72,9205.0,Diocese of Gary,B835,Saint Mary Catholic Community School,Lake,B,20.0,108.0,4.4,13.0,2.57,505.0,21.39
73,9205.0,Diocese of Gary,B865,Saint Stanislaus School,Lake,C,72.0,166.0,1.30555555556,6.0,2.84,211.0,78.67
74,9205.0,Diocese of Gary,B930,Saint Mary School,Lake,B,23.0,132.0,4.73913043478,7.0,2.8,250.0,52.8
75,9205.0,Diocese of Gary,B950,Saint Casimir School,Lake,C,35.0,330.0,8.42857142857,12.0,2.56,468.0,70.51
76,9205.0,Diocese of Gary,B960,Saint John Bosco School,Lake,B,36.0,167.0,3.63888888889,12.0,5.24,229.0,72.93
77,9205.0,Diocese of Gary,B965,Saint John The Baptist School,Lake,C,12.0,96.0,7.0,16.0,4.2,381.0,25.2
