CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
9200,Archdiocese of Indianapolis,D840,Seton Catholic Elementary,6,2.08%,16,5.54%,289
9200,Archdiocese of Indianapolis,D842,Seton Catholic High School,2,1.30%,15,9.74%,154
9205,Diocese of Gary,,,328,5.54%,240,4.05%,5924
9205,Diocese of Gary,B755,Aquinas School at St Andrew's,12,9.92%,4,3.31%,121
9205,Diocese of Gary,B760,Andrean High School,8,1.63%,5,1.02%,492
9205,Diocese of Gary,B775,Saint Michael School,0,0.00%,10,4.41%,227
9205,Diocese of Gary,B780,Saint John Evangelist School,2,0.54%,21,5.65%,372
9205,Diocese of Gary,B835,Saint Mary Catholic Comm School,34,6.73%,13,2.57%,505
9205,Diocese of Gary,B865,St Stanislaus School,31,14.69%,6,2.84%,211
9205,Diocese of Gary,B930,Saint Mary School,0,0.00%,7,2.80%,250
9205,Diocese of Gary,B950,Saint Casimir School,102,21.79%,12,2.56%,468
9205,Diocese of Gary,B960,Saint John Bosco School,17,7.42%,12,5.24%,229
9205,Diocese of Gary,B965,Saint John The Baptist School,22,5.77%,16,4.20%,381
9205,Diocese of Gary,B970,Bishop Noll Institute,31,5.87%,2,0.38%,528
9205,Diocese of Gary,C025,Our Lady Of Grace School,4,2.70%,12,8.11%,148
9205,Diocese of Gary,C060,Saint Thomas More School,3,0.62%,32,6.57%,487
9205,Diocese of Gary,C105,Notre Dame Catholic School,1,0.47%,10,4.65%,215
9205,Diocese of Gary,C110,Queen Of All Saints School,14,7.57%,20,10.81%,185
9205,Diocese of Gary,C120,Saint Stanislaus Kostka School,2,1.68%,12,10.08%,119
9205,Diocese of Gary,C125,Marquette Catholic High School,36,13.19%,9,3.30%,273
9205,Diocese of Gary,D050,Saint Patrick School,2,0.69%,13,4.47%,291
9205,Diocese of Gary,D065,Nativity of Our Savior School,5,3.52%,9,6.34%,142
9205,Diocese of Gary,D085,Saint Paul Catholic School,2,0.71%,15,5.36%,280
9210,Diocese of Lafayette Catholic Sch,,,130,2.78%,309,6.61%,4678
9210,Diocese of Lafayette Catholic Sch,A470,Sacred Heart School,0,0.00%,19,22.35%,85
9210,Diocese of Lafayette Catholic Sch,A790,Saint Lawrence School,0,0.00%,7,15.22%,46
9210,Diocese of Lafayette Catholic Sch,A795,Saint Mary School,1,0.66%,9,5.96%,151
9210,Diocese of Lafayette Catholic Sch,B155,Saint Paul Parish School,11,9.24%,8,6.72%,119
9210,Diocese of Lafayette Catholic Sch,B215,Our Lady Of Mt Carmel School,2,0.31%,24,3.75%,640
9210,Diocese of Lafayette Catholic Sch,B216,Saint Maria Goretti School,2,0.45%,33,7.47%,442
9210,Diocese of Lafayette Catholic Sch,B227,Saint Louis de Montfort School,0,0.00%,16,3.27%,490
9210,Diocese of Lafayette Catholic Sch,B246,Our Lady of Grace School,5,1.75%,23,8.04%,286
9210,Diocese of Lafayette Catholic Sch,B249,Guerin Catholic High School,4,0.53%,37,4.88%,758
9210,Diocese of Lafayette Catholic Sch,B395,Sts Joan of Arc & Patrick School,15,5.62%,38,14.23%,267
9210,Diocese of Lafayette Catholic Sch,B475,Saint Augustine School,0,0.00%,11,10.78%,102
9210,Diocese of Lafayette Catholic Sch,C190,Saint Mary School,0,0.00%,3,3.57%,84
9210,Diocese of Lafayette Catholic Sch,C211,Holy Cross School,54,25.59%,14,6.64%,211
9210,Diocese of Lafayette Catholic Sch,D415,Central Catholic Jr-Sr High School,12,2.77%,22,5.08%,433
9210,Diocese of Lafayette Catholic Sch,D420,Saint Boniface School,2,1.55%,12,9.30%,129
9210,Diocese of Lafayette Catholic Sch,D425,Saint Lawrence Elementary School,10,3.76%,18,6.77%,266
9210,Diocese of Lafayette Catholic Sch,D430,Saint Mary Cathedral School,12,7.10%,15,8.88%,169
9215,Diocese of Evansville,,,71,1.10%,553,8.61%,6426
9215,Diocese of Evansville,A660,Washington Catholic Mid/High Sch,7,4.07%,16,9.30%,172
9215,Diocese of Evansville,A665,Washington Catholic Elementary Sch,14,7.49%,14,7.49%,187
9215,Diocese of Evansville,A871,Holy Trinity Catholic School,4,1.14%,39,11.14%,350
9215,Diocese of Evansville,B105,St Joseph School,0,0.00%,25,17.48%,143
9215,Diocese of Evansville,B115,Holy Cross School,0,0.00%,19,13.10%,145
9215,Diocese of Evansville,B120,Saint James School,0,0.00%,26,12.09%,215
9215,Diocese of Evansville,B125,Saints Peter & Paul School,0,0.00%,14,11.86%,118
9215,Diocese of Evansville,B560,Rivet Middle & High School,0,0.00%,4,2.65%,151
9215,Diocese of Evansville,B565,Flaget Elementary School,1,0.38%,18,6.87%,262
9215,Diocese of Evansville,D095,St Matthew School,0,0.00%,10,15.15%,66
9215,Diocese of Evansville,D100,St Philip School,0,0.00%,15,8.33%,180
9215,Diocese of Evansville,D105,Saint Wendel School,1,0.54%,19,10.33%,184
9215,Diocese of Evansville,D370,St Bernard Catholic School,1,0.83%,25,20.83%,120
9215,Diocese of Evansville,D530,Mater Dei High School,0,0.00%,19,3.59%,529
9215,Diocese of Evansville,D535,Reitz Memorial High School,6,0.87%,22,3.19%,690
9215,Diocese of Evansville,D545,Annuc Cthlc Sch @ Christ the King,9,5.84%,13,8.44%,154
9215,Diocese of Evansville,D550,Corpus Christi School,0,0.00%,17,6.83%,249
9215,Diocese of Evansville,D555,Good Shepherd School,3,0.86%,25,7.14%,350
9215,Diocese of Evansville,D560,Holy Redeemer School,0,0.00%,18,8.22%,219
9215,Diocese of Evansville,D565,Holy Rosary School,5,1.42%,26,7.37%,353
9215,Diocese of Evansville,D570,Annunciation Cthlc at Holy Spirit,18,10.34%,45,25.86%,174
9215,Diocese of Evansville,D580,Westside Catholic School,1,0.59%,17,10.00%,170
9215,Diocese of Evansville,D590,St Benedict Cathedral School,0,0.00%,25,6.41%,390
9215,Diocese of Evansville,D605,Saint Joseph School,0,0.00%,19,10.11%,188
9215,Diocese of Evansville,D610,Resurrection School,0,0.00%,22,6.71%,328
9215,Diocese of Evansville,D815,Saint John The Baptist School,1,0.29%,41,12.09%,339
9220,Diocese of Fort Wayne - South Bend,,,785,6.05%,907,6.98%,12985
9220,Diocese of Fort Wayne - South Bend,A035,Saint Joseph School,2,0.67%,25,8.42%,297
9220,Diocese of Fort Wayne - South Bend,A104,Saint Elizabeth Seton Catholic Sch,13,2.83%,25,5.45%,459
9220,Diocese of Fort Wayne - South Bend,A106,Our Lady School,2,1.14%,9,5.14%,175
9220,Diocese of Fort Wayne - South Bend,A120,Bishop Dwenger High School,2,0.19%,59,5.49%,1075
9220,Diocese of Fort Wayne - South Bend,A125,Bishop Luers High School,21,3.40%,38,6.16%,617
9220,Diocese of Fort Wayne - South Bend,A130,Most Precious Blood School,9,3.88%,22,9.48%,232
9220,Diocese of Fort Wayne - South Bend,A135,Queen Of Angels School,18,9.33%,11,5.70%,193
9220,Diocese of Fort Wayne - South Bend,A145,Saint Charles Borromeo School,11,1.54%,37,5.17%,715
9220,Diocese of Fort Wayne - South Bend,A150,Saint John The Baptist School,10,4.37%,13,5.68%,229
9220,Diocese of Fort Wayne - South Bend,A155,Saint Joseph Catholic School,74,40.88%,10,5.52%,181
9220,Diocese of Fort Wayne - South Bend,A160,Saint Jude Elementary School,12,2.48%,32,6.61%,484
9220,Diocese of Fort Wayne - South Bend,A175,Saint Therese School,23,11.98%,17,8.85%,192
9220,Diocese of Fort Wayne - South Bend,A180,Saint Vincent DePaul School,19,2.53%,52,6.91%,752
9220,Diocese of Fort Wayne - South Bend,A270,Saint Aloysius Catholic School,0,0.00%,13,13.40%,97
9220,Diocese of Fort Wayne - South Bend,A340,Saint Rose of Lima School,0,0.00%,10,9.52%,105
9220,Diocese of Fort Wayne - South Bend,A350,St Joseph Hessen Cassel Cath Sch,2,1.79%,10,8.93%,112
9220,Diocese of Fort Wayne - South Bend,A355,Saint John The Baptist Catholic,0,0.00%,13,5.73%,227
9220,Diocese of Fort Wayne - South Bend,A360,Saint Louis Besancon Catholic Sch,7,7.45%,5,5.32%,94
9220,Diocese of Fort Wayne - South Bend,A735,Saint Joseph School,0,0.00%,6,7.89%,76
9220,Diocese of Fort Wayne - South Bend,A975,St Thomas The Apostle School,16,6.40%,20,8.00%,250
9220,Diocese of Fort Wayne - South Bend,A980,St Vincent de Paul School,58,35.58%,10,6.13%,163
9220,Diocese of Fort Wayne - South Bend,B020,St John Evangelist School,48,37.80%,11,8.66%,127
9220,Diocese of Fort Wayne - South Bend,B418,Huntington Catholic School,1,0.92%,15,13.76%,109
9220,Diocese of Fort Wayne - South Bend,B605,Sacred Heart School,10,6.90%,13,8.97%,145
9220,Diocese of Fort Wayne - South Bend,C855,Saint Michael School,20,12.42%,7,4.35%,161
9220,Diocese of Fort Wayne - South Bend,C980,Saint Mary Elementary School,1,0.81%,14,11.29%,124
9220,Diocese of Fort Wayne - South Bend,D164,St Pius X Catholic School,2,0.36%,36,6.45%,558
9220,Diocese of Fort Wayne - South Bend,D165,Marian High School,39,5.67%,32,4.65%,688
9220,Diocese of Fort Wayne - South Bend,D177,Mishawaka Catholic School,0,0.00%,24,8.92%,269
9220,Diocese of Fort Wayne - South Bend,D198,Queen of Peace School,2,0.96%,14,6.70%,209
9220,Diocese of Fort Wayne - South Bend,D225,Saint Joseph High School,15,1.67%,35,3.91%,896
9220,Diocese of Fort Wayne - South Bend,D230,Christ The King School,5,1.04%,38,7.92%,480
9220,Diocese of Fort Wayne - South Bend,D235,Corpus Christi School,2,1.06%,20,10.64%,188
9220,Diocese of Fort Wayne - South Bend,D240,Holy Cross School,11,5.19%,21,9.91%,212
9220,Diocese of Fort Wayne - South Bend,D245,Holy Family School,51,19.54%,12,4.60%,261
