CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
235,Fort Wayne Community Schools,239,Robert C Harris Elementary School,29,6.92%,82,19.57%,419
235,Fort Wayne Community Schools,240,Shawnee Middle School,37,5.47%,138,20.41%,676
235,Fort Wayne Community Schools,241,Whitney M Young Early Childhood,13,5.39%,38,15.77%,241
235,Fort Wayne Community Schools,249,Levan R Scott Academy,81,21.66%,33,8.82%,374
235,Fort Wayne Community Schools,253,South Wayne Elementary School,59,15.49%,68,17.85%,381
235,Fort Wayne Community Schools,257,Study Elementary School,34,11.26%,44,14.57%,302
235,Fort Wayne Community Schools,265,Washington Elementary School,15,5.86%,32,12.50%,256
235,Fort Wayne Community Schools,269,Washington Center Elementary Sch,38,7.25%,65,12.40%,524
235,Fort Wayne Community Schools,270,Lincoln Elementary School,69,9.80%,90,12.78%,704
235,Fort Wayne Community Schools,273,Waynedale Elementary School,92,18.78%,48,9.80%,490
235,Fort Wayne Community Schools,275,Arlington Elementary School,45,9.55%,59,12.53%,471
255,East Allen County Schools,,,676,7.06%,1113,11.63%,9569
255,East Allen County Schools,43,Prince Chapman Academy,143,20.25%,74,10.48%,706
255,East Allen County Schools,49,Leo Junior/Senior High School,10,0.77%,74,5.67%,1304
255,East Allen County Schools,53,Leo Elementary School,3,0.50%,40,6.72%,595
255,East Allen County Schools,81,Heritage Jr/Sr High School,45,5.89%,115,15.05%,764
255,East Allen County Schools,83,New Haven Primary School,9,1.84%,64,13.09%,489
255,East Allen County Schools,281,Heritage Elementary School,15,3.18%,77,16.31%,472
255,East Allen County Schools,285,Woodlan Jr/Sr High School,41,5.62%,90,12.33%,730
255,East Allen County Schools,291,Cedarville Elementary School,7,0.99%,47,6.67%,705
255,East Allen County Schools,294,Paul Harding Jr High School,77,22.19%,40,11.53%,347
255,East Allen County Schools,297,New Haven High School,38,3.75%,171,16.86%,1014
255,East Allen County Schools,301,New Haven Middle School,3,0.61%,78,15.89%,491
255,East Allen County Schools,305,New Haven Intermediate School,6,1.31%,82,17.94%,457
255,East Allen County Schools,310,Southwick Elementary School,255,40.93%,36,5.78%,623
255,East Allen County Schools,318,Park Hill Learning Center,0,0.00%,47,75.81%,62
255,East Allen County Schools,323,Woodlan Elementary School,23,4.58%,77,15.34%,502
255,East Allen County Schools,394,East Allen University,1,0.32%,1,0.32%,308
365,Bartholomew Con School Corp,,,853,7.38%,1431,12.38%,11562
365,Bartholomew Con School Corp,328,Clifty Creek Elementary School,58,12.83%,74,16.37%,452
365,Bartholomew Con School Corp,346,CSA Lincoln Campus,4,1.16%,39,11.30%,345
365,Bartholomew Con School Corp,353,Mount Healthy Elementary School,11,2.38%,47,10.17%,462
365,Bartholomew Con School Corp,354,Richard L Johnson Early Educ Cntr,0,0.00%,13,11.93%,109
365,Bartholomew Con School Corp,357,Parkside Elementary School,142,17.71%,107,13.34%,802
365,Bartholomew Con School Corp,363,W D Richards Elementary School,57,9.66%,73,12.37%,590
365,Bartholomew Con School Corp,366,Rockcreek Elementary School,11,2.99%,30,8.15%,368
365,Bartholomew Con School Corp,369,Lillian Schmitt Elementary School,41,5.82%,131,18.61%,704
365,Bartholomew Con School Corp,371,L F Smith Elementary,23,4.34%,79,14.91%,530
365,Bartholomew Con School Corp,375,CSA Fodrea Campus,42,11.35%,50,13.51%,370
365,Bartholomew Con School Corp,377,Taylorsville Elementary School,121,19.39%,70,11.22%,624
365,Bartholomew Con School Corp,390,Central Middle School,40,4.89%,102,12.47%,818
365,Bartholomew Con School Corp,392,Southside Elementary School,113,11.87%,103,10.82%,952
365,Bartholomew Con School Corp,395,Northside Middle School,60,6.78%,99,11.19%,885
365,Bartholomew Con School Corp,397,Columbus North High School,95,4.71%,240,11.90%,2017
365,Bartholomew Con School Corp,399,Columbus East High School,35,2.28%,174,11.34%,1534
370,Flat Rock-Hawcreek School Corp,,,9,1.04%,124,14.37%,863
