CORP_NAME_CODE1,CORP_NAME1,SCHL_NAME_CODE,SCHL_NAME,GRADE,ENROLLMENT_N,ENROLLMENT_N1
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 1,9,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 2,13,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 3,16,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 4,13,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 5,17,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 6,16,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 7,9,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 8,6,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 9,,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 10,,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 11,,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 12,,108
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,Grade 12+/Adult,,108
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Pre-Kindergarten,,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Kindergarten,7,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 1,8,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 2,10,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 3,9,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 4,7,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 5,8,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 6,5,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 7,6,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 8,2,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 9,,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 10,,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 11,,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 12,,62
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,Grade 12+/Adult,,62
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Pre-Kindergarten,,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Kindergarten,10,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 1,5,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 2,9,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 3,16,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 4,12,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 5,15,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 6,12,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 7,15,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 8,16,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 9,,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 10,,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 11,,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 12,,110
9200,Archdiocese of Indianapolis,A690,Saint Mary School,Grade 12+/Adult,,110
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Pre-Kindergarten,,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Kindergarten,15,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 1,24,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 2,22,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 3,19,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 4,20,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 5,25,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 6,29,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 7,27,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 8,26,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 9,,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 10,,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 11,,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 12,,207
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,Grade 12+/Adult,,207
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Pre-Kindergarten,,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Kindergarten,32,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 1,37,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 2,38,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 3,27,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 4,23,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 5,32,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 6,20,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 7,29,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 8,16,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 9,,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 10,,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 11,,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 12,,254
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,Grade 12+/Adult,,254
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Pre-Kindergarten,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Kindergarten,19,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 1,14,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 2,23,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 3,21,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 4,19,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 5,25,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 6,18,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 7,,139
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,Grade 8,,139
