,School No.,School Name,County,Grade,2011,2016,Count % Change
88,A470,Sacred Heart School,Benton,A,9.0,45.0,4.0
89,A790,Saint Lawrence School,Delaware,A,1.0,25.0,24.0
90,A795,Saint Mary School,Delaware,B,11.0,55.0,4.0
91,B155,Saint Paul Parish School,Grant,B,1.0,57.0,56.0
95,B246,Our Lady of Grace School,Hamilton,A,1.0,56.0,55.0
96,B249,Guerin Catholic High School,Hamilton,A,1.0,59.0,58.0
97,B395,Saints Joan of Arc & Patrick School,Howard,B,1.0,150.0,149.0
98,B475,Saint Augustine School,Jasper,A,1.0,26.0,25.0
99,C190,Saint Mary School,Madison,C,1.0,45.0,44.0
100,C205,Saint Ambrose School,Madison,B,13.0,9.0,-0.307692307692
101,C210,Saint Mary School,Madison,B,16.0,9.0,-0.4375
102,D415,Central Catholic Jr/Sr High School,Tippecanoe,A,1.0,168.0,167.0
103,D420,Saint Boniface School,Tippecanoe,A,1.0,62.0,61.0
104,D425,Saint Lawrence Elementary School,Tippecanoe,A,1.0,100.0,99.0
105,D430,Saint Mary Cathedral School,Tippecanoe,A,10.0,75.0,6.5
106,A660,Washington Catholic Middle/High School,Daviess,B,16.0,109.0,5.8125
107,A665,Washington Catholic Elementary School,Daviess,C,22.0,125.0,4.68181818182
108,A871,Holy Trinity Catholic School,Dubois,A,9.0,82.0,8.11111111111
109,B105,Saint Joseph School,Gibson,B,1.0,64.0,63.0
110,B115,Holy Cross School,Gibson,A,9.0,29.0,2.22222222222
111,B120,Saint James School,Gibson,A,9.0,70.0,6.77777777778
112,B125,Saints Peter & Paul School,Gibson,A,9.0,1.0,-0.888888888889
113,B560,Rivet Middle & High School,Knox,B,1.0,47.0,46.0
114,B565,Flaget Elementary School,Knox,B,1.0,77.0,76.0
115,D095,Saint Matthew School,Posey,A,9.0,18.0,1.0
116,D100,Saint Philip School,Posey,A,1.0,31.0,30.0
117,D105,Saint Wendel School,Posey,A,1.0,37.0,36.0
118,D370,Saint Bernard School,Spencer,A,21.0,80.0,2.80952380952
119,D530,Mater Dei High School,Vanderburgh,A,1.0,147.0,146.0
120,D535,Reitz Memorial High School,Vanderburgh,A,13.0,193.0,13.8461538462
121,D545,Christ The King School,Vanderburgh,A,1.0,48.0,47.0
122,D550,Corpus Christi School,Vanderburgh,A,9.0,49.0,4.44444444444
123,D555,Good Shepherd School,Vanderburgh,A,1.0,91.0,90.0
124,D560,Holy Redeemer School,Vanderburgh,B,11.0,102.0,8.27272727273
125,D565,Holy Rosary School,Vanderburgh,A,1.0,123.0,122.0
126,D570,Holy Spirit School,Vanderburgh,B,25.0,123.0,3.92
127,D580,Westside Catholic School,Vanderburgh,B,1.0,107.0,106.0
128,D590,Saint Benedict Cathedral School,Vanderburgh,A,1.0,84.0,83.0
129,D605,Saint Joseph School,Vanderburgh,B,1.0,38.0,37.0
130,D610,Resurrection School,Vanderburgh,A,1.0,87.0,86.0
131,D815,Saint John The Baptist School,Warrick,A,1.0,89.0,88.0
132,A035,Saint Joseph School,Adams,A,1.0,171.0,170.0
133,A104,Saint Joseph-Saint Elizabeth Campus II,Allen,B,1.0,197.0,196.0
134,A120,Bishop Dwenger High School,Allen,A,22.0,450.0,19.4545454545
135,A125,Bishop Luers High School,Allen,B,58.0,391.0,5.74137931034
136,A130,Most Precious Blood School,Allen,B,17.0,168.0,8.88235294118
137,A135,Queen Of Angels School,Allen,C,19.0,128.0,5.73684210526
138,A145,Saint Charles Borromeo School,Allen,A,24.0,389.0,15.2083333333
139,A150,Saint John The Baptist School,Allen,A,20.0,158.0,6.9
140,A155,Saint Joseph-Saint Elizabeth Campus I,Allen,B,1.0,139.0,138.0
141,A160,Saint Jude Elementary School,Allen,A,28.0,303.0,9.82142857143
142,A175,Saint Therese School,Allen,C,32.0,158.0,3.9375
143,A180,Saint Vincent DePaul School,Allen,A,1.0,256.0,255.0
144,A270,Saint Aloysius Catholic School,Allen,A,1.0,51.0,50.0
145,A340,Saint Joseph Catholic School,Allen,B,12.0,47.0,2.91666666667
146,A350,Saint Joseph Hessen Cassel Catholic School,Allen,B,1.0,56.0,55.0
147,A355,Saint John The Baptist Catholic School,Allen,A,1.0,132.0,131.0
148,A360,Saint Louis Besancon Catholic School,Allen,D,1.0,63.0,62.0
149,A735,Saint Joseph School,Dekalb,A,1.0,37.0,36.0
150,A975,Saint Thomas The Apostle School,Elkhart,B,13.0,86.0,5.61538461538
151,A980,Saint Vincent DePaul School,Elkhart,B,23.0,147.0,5.39130434783
152,B020,Saint John Evangelist School,Elkhart,C,1.0,92.0,91.0
153,B418,Huntington Catholic School,Huntington,C,17.0,75.0,3.41176470588
154,B605,Sacred Heart School,Kosciusko,A,1.0,46.0,45.0
155,C855,Saint Michael School,Marshall,A,1.0,74.0,73.0
156,C980,Saint Mary Elementary School,Noble,B,1.0,57.0,56.0
157,D164,Saint Pius X Catholic School,St Joseph,A,1.0,94.0,93.0
158,D165,Marian High School,St Joseph,A,41.0,341.0,7.31707317073
159,D177,Mishawaka Catholic School,St Joseph,B,18.0,163.0,8.05555555556
160,D198,Queen of Peace School,St Joseph,A,1.0,96.0,95.0
161,D225,Saint Joseph's High School,St Joseph,A,13.0,288.0,21.1538461538
162,D230,Christ The King School,St Joseph,A,1.0,135.0,134.0
163,D235,Corpus Christi School,St Joseph,B,1.0,80.0,79.0
164,D240,Holy Cross School,St Joseph,C,43.0,153.0,2.55813953488
165,D245,Holy Family School,St Joseph,C,35.0,157.0,3.48571428571
166,D250,Our Lady Of Hungary School,St Joseph,A,65.0,179.0,1.75384615385
167,D255,Saint Adalbert School,St Joseph,B,46.0,198.0,3.30434782609
168,D260,Saint Anthony De Padua School,St Joseph,A,32.0,134.0,3.1875
169,D265,Saint John The Baptist School,St Joseph,D,27.0,68.0,1.51851851852
170,D270,Saint Joseph School,St Joseph,A,1.0,91.0,90.0
171,D275,Saint Jude Catholic School,St Joseph,C,17.0,117.0,5.88235294118
172,D285,Saint Matthew Cathedral School,St Joseph,C,32.0,258.0,7.0625
173,D805,Saint Bernard Elementary School,Wabash,A,1.0,47.0,46.0
174,A040,Saint Peter Immanuel Lutheran School,Adams,C,9.0,18.0,1.0
176,A195,Concordia Lutheran High School,Allen,A,21.0,397.0,17.9047619048
177,A200,Suburban Bethlehem Lutheran School,Allen,B,9.0,84.0,8.33333333333
178,A205,Concordia Evangelical Lutheran School,Allen,C,9.0,246.0,26.3333333333
179,A215,Emmanuel Saint Michael Lutheran School,Allen,A,9.0,162.0,17.0
180,A220,Emmaus Lutheran School,Allen,A,16.0,94.0,4.875
181,A225,Holy Cross Lutheran School,Allen,B,9.0,202.0,21.4444444444
182,A235,Lutheran South Unity School,Allen,B,19.0,65.0,2.42105263158
183,A245,Saint Paul Lutheran School,Allen,A,12.0,125.0,9.41666666667
184,A248,Ascension Lutheran School,Allen,B,1.0,86.0,85.0
185,A250,Saint Peter's Lutheran School,Allen,A,9.0,124.0,12.7777777778
186,A365,Saint John-Emmanuel Lutheran School,Allen,C,9.0,53.0,4.88888888889
187,A370,Central Lutheran School,Allen,B,9.0,160.0,16.7777777778
188,A375,Woodburn Lutheran School,Allen,A,1.0,82.0,81.0
189,A430,White Creek Lutheran School,Bartholomew,A,1.0,17.0,16.0
190,A435,Saint Peter Lutheran School,Bartholomew,B,1.0,122.0,121.0
191,B275,Saint John Lutheran School,Harrison,C,9.0,25.0,1.77777777778
192,B367,Redeemer Lutheran School,Howard,B,1.0,49.0,48.0
193,B445,Immanuel Lutheran School,Jackson,A,9.0,104.0,10.5555555556
194,B450,Saint John Lutheran School,Jackson,F,9.0,1.0,-0.888888888889
195,B452,Trinity Lutheran High School,Jackson,A,9.0,51.0,4.66666666667
197,B850,Trinity Lutheran School,Lake,B,1.0,88.0,87.0
198,C050,Trinity Lutheran School,Lake,B,10.0,27.0,1.7
199,C065,Saint Paul's Lutheran School,Lake,A,9.0,37.0,3.11111111111
200,C150,Saint John Lutheran School,LaPorte,A,1.0,57.0,56.0
201,C267,Holy Cross Lutheran School,Marion,A,1.0,36.0,35.0
202,C270,Lutheran High School,Marion,B,15.0,121.0,7.06666666667
203,C315,Calvary Lutheran School,Marion,B,20.0,113.0,4.65
204,C395,Trinity Lutheran School,Marion,B,24.0,51.0,1.125
205,C400,Saint John Evangelical Lutheran School,Marion,B,11.0,69.0,5.27272727273
206,C512,Our Shepherd Lutheran School,Hendricks,C,1.0,52.0,51.0
207,C680,Emmaus Lutheran School,Marion,No Grade,1.0,14.0,13.0
208,C985,Saint John Lutheran School,Noble,A,10.0,75.0,6.5
210,D375,Saint Peter Lutheran School,Starke,B,1.0,57.0,56.0
211,D435,Saint James Lutheran School,Tippecanoe,A,1.0,54.0,53.0
212,D625,Evansville Lutheran School,Vanderburgh,B,16.0,111.0,5.9375
213,B297,The Oaks Academy - Brookside,Marion,A,9.0,115.0,11.7777777778
214,C773,The Oaks Academy,Marion,A,9.0,175.0,18.4444444444
215,C774,The Oaks Academy - Middle School,Marion,A,9.0,83.0,8.22222222222
216,A170,Blackhawk Christian Jr/Sr High School,Allen,A,13.0,156.0,11.0
217,A172,Blackhawk Christian Elementary School,Allen,A,31.0,246.0,6.93548387097
218,A236,Cornerstone College Preparatory School,Allen,F,92.0,122.0,0.326086956522
219,A249,Central Christian School,Allen,C,11.0,96.0,7.72727272727
220,A260,Aboite Christian School,Huntington,C,9.0,35.0,2.88888888889
221,A302,Horizon Christian Academy II,Allen,F,9.0,9.0,0.0
222,A307,Horizon Christian Academy III,Allen,D,9.0,433.0,47.1111111111
223,A309,Horizon Christian Academy,Allen,F,22.0,9.0,-0.590909090909
225,A405,North Star Montessori School,Bartholomew,No Grade,9.0,16.0,0.777777777778
226,A450,Columbus Christian School Inc.,Bartholomew,B,30.0,122.0,3.06666666667
228,A724,Good Shepherd Christian Academy,Decatur,D,1.0,40.0,39.0
229,A740,Lakewood Park Christian School,Dekalb,A,26.0,262.0,9.07692307692
230,A746,Heritage Hall Christian School,Delaware,A,9.0,115.0,11.7777777778
231,A875,Clinton Christian School,Elkhart,B,9.0,133.0,13.7777777778
232,A990,Elkhart Christian Academy,Elkhart,B,22.0,236.0,9.72727272727
233,B015,Bethany Christian School,Elkhart,A,28.0,158.0,4.64285714286
234,B045,Christian Academy of Indiana,Floyd,A,17.0,229.0,12.4705882353
235,B085,Covington Christian School,Fountain,C,1.0,19.0,18.0
236,B136,The King's Academy,Grant,B,1.0,149.0,148.0
237,B145,Lakeview Christian School,Grant,F,48.0,198.0,3.125
238,B160,Eman Schools,Hamilton,A,1.0,121.0,120.0
239,B161,Fishers Christian Academy,Hamilton,B,9.0,42.0,3.66666666667
240,B167,Paddock View Residential Center,Grant,No Grade,20.0,9.0,-0.55
241,B190,Indiana Academy,Hamilton,F,9.0,90.0,9.0
242,B241,University High School of Indiana,Hamilton,A,1.0,9.0,8.0
243,B248,Legacy Christian School,Hamilton,A,9.0,34.0,2.77777777778
244,B290,Bethesda Christian School,Hendricks,B,1.0,110.0,109.0
245,B295,Kingsway Christian School,Hendricks,A,1.0,141.0,140.0
246,B302,Islamic School of Plainfield,Hendricks,No Grade,9.0,16.0,0.777777777778
247,B455,Seymour Christian Academy,Jackson,D,9.0,86.0,8.55555555556
248,B469,Covenant Christian High School,Jasper,A,1.0,35.0,34.0
249,B470,DeMotte Christian School,Jasper,B,11.0,137.0,11.4545454545
251,B483,Jay County Christian Academy,Jay,C,18.0,41.0,1.27777777778
252,B493,Christian Academy of Madison,Jefferson,C,1.0,76.0,75.0
254,B595,Lakeland Christian Academy,Kosciusko,F,1.0,55.0,54.0
255,B600,Warsaw Christian School,Kosciusko,A,9.0,119.0,12.2222222222
256,B725,Howe School,LaGrange,B,1.0,14.0,13.0
257,B747,Midwest Elite Preparatory Academy,Lake,No Grade,9.0,50.0,4.55555555556
258,B748,Faith Academy,Lake,D,9.0,65.0,6.22222222222
259,B764,Avicenna Academy,Lake,D,9.0,20.0,1.22222222222
260,B771,Crown Point Christian School,Lake,B,9.0,122.0,12.5555555556
261,B806,Ambassador Christian Academy,Lake,D,110.0,154.0,0.4
263,B815,Calumet Christian School,Lake,F,9.0,106.0,10.7777777778
264,B901,Trinity Educational Daycare & Academy,Lake,No Grade,9.0,9.0,0.0
265,B904,Mosaic Middle School,Lake,No Grade,9.0,52.0,4.77777777778
266,B928,Spirit of God Accelerated School,Lake,F,9.0,41.0,3.55555555556
267,B951,Morning Star Academy,Lake,No Grade,9.0,12.0,0.333333333333
268,C020,Highland Christian School,Lake,B,9.0,164.0,17.2222222222
269,C112,Door Prairie Adventist School,LaPorte,D,9.0,9.0,0.0
270,C130,Saint Paul Lutheran School,LaPorte,C,9.0,90.0,9.0
271,C175,Indiana Christian Academy,Madison,D,9.0,189.0,20.0
272,C215,Cross Street Christian School,Madison,F,9.0,28.0,2.11111111111
273,C223,Delaware Christian Academy,Delaware,No Grade,9.0,44.0,3.88888888889
274,C224,Liberty Christian School (7-8),Madison,D,24.0,9.0,-0.625
275,C225,Liberty Christian School,Madison,B,23.0,126.0,4.47826086957
276,C226,Liberty Christian Elementary,Madison,C,73.0,197.0,1.69863013699
277,C250,Anderson Christian School,Madison,C,9.0,40.0,3.44444444444
280,C275,Heritage Christian School,Marion,A,34.0,313.0,8.20588235294
281,C281,Cornerstone Baptist Academy,Marion,B,9.0,83.0,8.22222222222
282,C282,Horizon Christian School,Marion,B,17.0,157.0,8.23529411765
283,C325,Suburban Christian School,Marion,D,9.0,145.0,15.1111111111
284,C349,Southport Presbyterian Christian School,Marion,B,1.0,26.0,25.0
285,C375,Traders Point Christian Academy,Boone,C,15.0,225.0,14.0
286,C396,Burge Terrace Christian School,Marion,No Grade,9.0,40.0,3.44444444444
287,C455,Indianapolis Junior Academy,Marion,C,45.0,59.0,0.311111111111
288,C475,Hasten Hebrew Academy Of Indianapolis,Marion,A,9.0,37.0,3.11111111111
289,C495,Colonial Christian School,Marion,C,9.0,91.0,9.11111111111
290,C514,Crosspointe Christian Academy,Marion,C,9.0,98.0,9.88888888889
291,C527,Covenant Christian High School,Marion,A,21.0,100.0,3.7619047619
292,C561,Trinity Christian School,Marion,C,57.0,177.0,2.10526315789
293,C563,Horizon Christian School-Shepherd Campus,Marion,F,9.0,100.0,10.1111111111
294,C575,Baptist Academy,Marion,A,41.0,65.0,0.585365853659
295,C580,Calvary Christian School,Marion,A,32.0,124.0,2.875
296,C589,The Independence Academy,Marion,F,9.0,14.0,0.555555555556
297,C628,MTI School of Knowledge,Marion,D,70.0,229.0,2.27142857143
299,C690,Capitol City Seventh Day Adventist Church School,Marion,F,1.0,24.0,23.0
300,C699,TP Schools,Marion,A,9.0,76.0,7.44444444444
301,C791,Project Libertas,Marion,C,9.0,60.0,5.66666666667
302,C899,Pinnacle School,Monroe,F,11.0,1.0,-0.909090909091
303,C905,Adventist Christian Elementary,Monroe,No Grade,9.0,1.0,-0.888888888889
304,C918,The Prep School,Monroe,No Grade,9.0,9.0,0.0
305,C927,Lighthouse Christian Academy,Monroe,A,1.0,152.0,151.0
306,C933,Clear Creek Christian School,Monroe,B,1.0,40.0,39.0
307,C940,Tabernacle Christian Schools,Morgan,C,9.0,212.0,22.5555555556
308,C965,Mooresville Christian Academy,Morgan,B,1.0,139.0,138.0
309,C966,Greenwood Christian Academy,Johnson,B,20.0,230.0,10.5
312,D073,Victory Christian Academy,Porter,B,25.0,160.0,5.4
313,D080,Portage Christian School,Porter,D,9.0,267.0,28.6666666667
314,D158,North Liberty Christian School,St Joseph,C,9.0,11.0,0.222222222222
315,D189,Covenant Christian School,St Joseph,A,1.0,83.0,82.0
316,D195,South Bend Hebrew Day School,St Joseph,A,9.0,82.0,8.11111111111
317,D217,Trinity School At Greenlawn,St Joseph,F,9.0,67.0,6.44444444444
318,D249,New Vision Christian Academy,St Joseph,F,9.0,24.0,1.66666666667
319,D300,South Bend Junior Academy School,St Joseph,No Grade,1.0,20.0,19.0
320,D305,Community Baptist Christian School,St. Joseph,C,9.0,116.0,11.8888888889
321,D310,Granger Christian School,St Joseph,A,1.0,114.0,113.0
322,D315,Michiana Christian School,St Joseph,D,9.0,36.0,3.0
323,D329,Grace Christian Academy,Scott,B,11.0,77.0,6.0
324,D440,Lafayette Christian School,Tippecanoe,A,9.0,141.0,14.6666666667
326,D452,Faith Christian School,Tippecanoe,A,20.0,243.0,11.15
327,D485,Evansville Christian School,Vanderburgh,A,10.0,330.0,32.0
328,D525,Evansville Day School,Vanderburgh,A,1.0,38.0,37.0
330,D725,Holy Cross School,Vigo,F,1.0,9.0,8.0
331,D748,Terre Haute Seventh Day Adventist School,Vigo,No Grade,1.0,14.0,13.0
332,D860,Richmond Academy,Wayne,F,14.0,44.0,2.14285714286
333,D862,Community Christian School,Wayne,A,1.0,44.0,43.0
335,D907,TROY Center,Whitley,F,9.0,30.0,2.33333333333
336,A515,All Saints Catholic School,Cass,,1.0,9.0,8.0
337,B195,Cicero Adventist School,Hamilton,,9.0,9.0,0.0
338,B985,City Baptist Schools,Lake,,9.0,9.0,0.0
339,A479,ClearView Education,Boone,,9.0,9.0,0.0
340,B009,Crossing Educational Center,Elkhart,,9.0,276.0,29.6666666667
341,A275,Crossroad Academy,Allen,,1.0,13.0,12.0
342,D526,Evansville Day School PK-08,Vanderburgh,,1.0,9.0,8.0
343,B037,Faith Christian School,Fayette,,9.0,9.0,0.0
344,B790,Hammond Baptist Elementary & High School,Lake,,9.0,9.0,0.0
345,C211,Holy Cross School,Madison,,1.0,165.0,164.0
346,A865,Holy Family School,Dubois,,1.0,9.0,8.0
347,D722,John Paul II Catholic High School,Vigo,,1.0,9.0,8.0
348,B299,Legacy Learning Center,Marion,,1.0,75.0,74.0
349,A106,Our Lady School,Allen,,1.0,102.0,101.0
350,A870,Precious Blood School,Dubois,,1.0,9.0,8.0
351,D317,Resurrection Lutheran Academy,St Joseph,,1.0,18.0,17.0
352,C040,Saint Bridget School,Lake,,1.0,9.0,8.0
353,B800,Saint Edward School,Lake,,1.0,9.0,8.0
354,A695,Saint John Evangelical Lutheran School,Dearborn,,1.0,19.0,18.0
355,D465,Saint John The Baptist School,Tippecanoe,,1.0,9.0,8.0
356,C145,Saint Joseph School,LaPorte,,1.0,9.0,8.0
357,B065,Saint Mary's Catholic School,Floyd,,1.0,9.0,8.0
358,D615,Saint Theresa School,Vanderburgh,,16.0,9.0,-0.4375
359,D458,Tippecanoe Christian School,Tippecanoe,,1.0,9.0,8.0
360,B293,Todd Academy,Marion,,9.0,9.0,0.0
