,School No.,School Name,County,2011,2012,2013,2014,2015,2016
70,D625,Evansville Lutheran School,Vanderburgh,4182.61,4352.9,3896.84,3775.77,4117.32,3938.63
71,B748,Faith Academy,Lake,,4144.74,4611.64,4734.61,4602.68,4741.21
72,B037,Faith Christian School,Fayette,,,,,,
73,D452,Faith Christian School,Tippecanoe,4078.49,4035.36,4114.12,4329.8,4355.2,4429.74
74,B161,Fishers Christian Academy,Hamilton,,,,4294.9,4650.24,4776.96
75,B565,Flaget Elementary School,Knox,,3116.0,3182.0,3304.9,3403.51,3466.13
76,A724,Good Shepherd Christian Academy,Decatur,,,2899.17,2922.99,2921.38,2934.29
77,D555,Good Shepherd School,Vanderburgh,,3062.75,3409.44,3320.88,3472.11,3469.92
78,D329,Grace Christian Academy,Scott,3114.27,4242.22,4721.07,4568.98,4731.63,4866.05
79,D310,Granger Christian School,St Joseph,,4193.03,4585.52,4328.73,4378.58,4311.8
80,C966,Greenwood Christian Academy,Johnson,3715.6,4003.92,4125.3,4064.05,4113.81,4014.62
81,B249,Guerin Catholic High School,Hamilton,,4282.38,3961.84,4392.59,4139.06,4138.6
82,B790,Hammond Baptist Elementary & High School,Lake,,,,,,
83,C475,Hasten Hebrew Academy Of Indianapolis,Marion,,,4256.3,4505.0,4695.37,4537.72
84,C275,Heritage Christian School,Marion,4044.86,3920.31,4167.87,4336.59,4690.36,4785.19
85,A746,Heritage Hall Christian School,Delaware,,3823.93,4117.82,4221.94,4132.56,4418.74
86,C020,Highland Christian School,Lake,,,4493.63,4137.77,4744.29,5126.76
87,C590,Holy Angels Catholic School,Marion,4243.25,4337.83,4677.03,4747.57,5594.09,5600.29
88,C595,Holy Cross Central School,Marion,4392.62,4428.7,4755.36,4845.78,5742.72,5958.38
89,A225,Holy Cross Lutheran School,Allen,,1734.21,1721.21,1797.82,1809.82,1872.14
90,C267,Holy Cross Lutheran School,Marion,,,,4011.16,3790.45,3867.96
91,B115,Holy Cross School,Gibson,,,,2018.42,2001.52,2371.98
92,C211,Holy Cross School,Madison,,,,,,3048.07
93,D240,Holy Cross School,St Joseph,4216.64,4265.01,4412.85,4393.45,4620.91,4805.48
94,D725,Holy Cross School,Vigo,,,,,,
