,School No.,School Name,County,2011,2012,2013,2014,2015,2016
307,B505,Shawe Memorial High School,Jefferson,,,4008.0,4214.8,4340.99,4295.92
308,D195,South Bend Hebrew Day School,St Joseph,,4092.12,4413.72,4367.21,4740.23,5048.32
309,D300,South Bend Junior Academy School,St Joseph,,,4211.79,4444.66,3960.34,4355.23
310,C349,Southport Presbyterian Christian School,Marion,,4415.38,4326.29,4450.51,4438.45,4588.74
311,B928,Spirit of God Accelerated School,Lake,,,4700.0,3430.27,4667.17,4741.29
312,A200,Suburban Bethlehem Lutheran School,Allen,,2353.54,2304.66,2350.25,2437.28,2666.61
313,C325,Suburban Christian School,Marion,,,,4134.91,4227.62,4277.89
314,C940,Tabernacle Christian Schools,Morgan,,,4255.05,4202.63,4485.57,4550.16
315,D748,Terre Haute Seventh Day Adventist School,Vigo,,,4616.67,4700.0,4800.0,4192.81
316,C589,The Independence Academy,Marion,,,4044.4,,4643.29,5021.06
317,B136,The King's Academy,Grant,,3423.84,3590.1,3780.67,3639.22,3725.73
318,C773,The Oaks Academy,Marion,,4207.45,4336.13,4217.04,4462.7,4775.35
319,B297,The Oaks Academy - Brookside,Marion,,,4879.32,4707.18,4944.45,5076.1
320,C774,The Oaks Academy - Middle School,Marion,,,,,4681.25,4649.53
321,C918,The Prep School,Monroe,,,4132.67,4147.87,,
322,D458,Tippecanoe Christian School,Tippecanoe,,,,,,
323,B293,Todd Academy,Marion,,,4428.74,4731.23,,
324,C699,TP Schools,Marion,,3170.82,4193.36,4391.41,4458.61,4983.13
325,C375,Traders Point Christian Academy,Boone,3705.98,3753.17,4048.57,4122.38,4104.41,4307.43
326,C561,Trinity Christian School,Marion,4584.86,4690.45,4878.2,4912.28,5279.19,5327.91
327,B901,Trinity Educational Daycare & Academy,Lake,,4500.0,4700.0,4651.29,6011.87,
328,B452,Trinity Lutheran High School,Jackson,,,,4105.43,4196.16,3968.8
329,B850,Trinity Lutheran School,Lake,,2798.86,3259.67,3101.45,3198.34,3218.34
330,C050,Trinity Lutheran School,Lake,3315.0,3056.22,3530.28,3500.34,3706.93,3547.56
331,C395,Trinity Lutheran School,Marion,4030.34,4007.23,4088.08,4085.6,4115.14,4097.12
332,D217,Trinity School At Greenlawn,St Joseph,,4196.94,4789.45,4422.08,4289.05,4201.45
333,D907,TROY Center,Whitley,,4568.71,4767.24,4978.5,4952.85,5119.77
334,B241,University High School of Indiana,Hamilton,,,,3774.17,4236.95,
335,D073,Victory Christian Academy,Porter,3655.07,3762.96,3750.96,3672.03,3865.59,3929.15
336,B600,Warsaw Christian School,Kosciusko,,4039.86,3952.59,4008.32,4366.09,4255.31
337,A665,Washington Catholic Elementary School,Daviess,2756.38,3852.67,3541.27,3428.98,4360.61,4364.32
338,A660,Washington Catholic Middle/High School,Daviess,2780.0,4285.54,3384.13,3697.6,4594.68,4740.87
339,D580,Westside Catholic School,Vanderburgh,,4009.67,4073.5,4171.45,4537.08,4554.03
340,A430,White Creek Lutheran School,Bartholomew,,,,,,2494.59
341,A375,Woodburn Lutheran School,Allen,,3261.43,4063.0,2762.87,3072.58,3195.86
