School No.,School Name,County,2011,2012,2013,2014,2015,2016
D625,Evansville Lutheran School,Vanderburgh,66921.72,147998.64,350715.58,430438.33,510547.92,437188.31
B748,Faith Academy,Lake,,58026.30,198300.73,336157.16,197915.12,308178.86
B037,Faith Christian School,Fayette,,,,,,
D452,Faith Christian School,Tippecanoe,81569.89,274404.35,489580.63,753385.02,949432.78,1076425.62
B161,Fishers Christian Academy,Hamilton,,,,124552.16,144157.48,200632.46
B565,Flaget Elementary School,Knox,11225.00,65436.07,149553.94,257782.34,272280.78,266892.00
A724,Good Shepherd Christian Academy,Decatur,2805.00,16671.35,52185.00,81843.66,116855.10,117371.55
D555,Good Shepherd School,Vanderburgh,8747.24,39815.76,184109.76,285595.70,322905.78,315762.85
D329,Grace Christian Academy,Scott,34256.98,139993.15,236053.48,315259.57,340677.59,374685.90
D310,Granger Christian School,St Joseph,36054.91,96439.69,178835.36,225093.84,332771.73,491544.94
C966,Greenwood Christian Academy,Johnson,74312.02,156152.96,350650.49,666503.82,851558.21,923362.47
B249,Guerin Catholic High School,Hamilton,20837.51,51388.51,63389.52,188881.42,182118.53,244177.46
B790,Hammond Baptist Elementary & High School,Lake,,26842.10,,,,
C475,Hasten Hebrew Academy Of Indianapolis,Marion,,25146.88,93638.61,153169.97,197205.56,167895.65
C275,Heritage Christian School,Marion,137525.09,246979.54,454298.28,971396.77,1233565.50,1497763.61
A746,Heritage Hall Christian School,Delaware,,114717.78,267657.99,422194.22,417388.11,508155.33
C020,Highland Christian School,Lake,,,278605.03,587562.79,716388.19,840789.26
C590,Holy Angels Catholic School,Marion,93351.48,329674.91,537858.70,541223.36,486685.71,392020.33
C595,Holy Cross Central School,Marion,219631.06,398582.77,913029.37,915851.96,1160030.45,1161884.22
A225,Holy Cross Lutheran School,Allen,,65900.00,170400.00,280460.50,325767.27,378173.15
C267,Holy Cross Lutheran School,Marion,4500.00,4500.00,,96267.92,109922.98,139246.62
B115,Holy Cross School,Gibson,,2445.00,,38350.00,66050.00,68787.50
C211,Holy Cross School,Madison,,,,,,502932.34
D240,Holy Cross School,St Joseph,181315.72,345465.60,794313.46,654624.30,711620.28,735239.16
D725,Holy Cross School,Vigo,40500.00,18000.00,,,,
A865,Holy Family School,Dubois,20682.73,38355.50,66175.00,87051.00,,
B050,Holy Family School,Floyd,11702.17,21044.41,81604.32,194221.30,201702.43,220926.95
D245,Holy Family School,St Joseph,148234.19,246103.60,440776.28,618934.00,641782.00,715020.94
C545,Holy Name School,Marion,50218.02,115386.90,258472.19,455372.38,514378.19,501505.59
D560,Holy Redeemer School,Vanderburgh,46114.48,100663.04,157103.32,292996.39,326832.09,376592.88
D565,Holy Rosary School,Vanderburgh,15317.00,56596.30,244880.50,300613.44,363476.52,476642.18
C390,Holy Spirit School,Marion,266407.89,522422.79,815054.27,834507.50,996396.19,1129321.91
D570,Holy Spirit School,Vanderburgh,78152.00,187813.69,570857.54,517822.12,473707.58,527794.50
A871,Holy Trinity Catholic School,Dubois,,,,,182517.42,202360.00
A309,Horizon Christian Academy,Allen,71647.83,201500.47,587289.46,905127.09,1306617.42,
A302,Horizon Christian Academy II,Allen,,,537631.90,371466.15,313230.80,
A307,Horizon Christian Academy III,Allen,,75060.34,861293.55,897012.30,1145679.67,2437488.08
C282,Horizon Christian School,Marion,72096.34,191622.70,407030.46,549934.95,618433.27,721498.10
C563,Horizon Christian School-Shepherd Campus,Marion,,80189.53,394169.79,409728.00,566894.79,607387.65
B725,Howe School,LaGrange,8728.48,28398.76,,,57057.17,70107.56
B418,Huntington Catholic School,Huntington,70975.02,86665.16,197838.08,212549.70,283822.65,316531.78
C600,Immaculate Heart of Mary School,Marion,,5625.54,,,,
B445,Immanuel Lutheran School,Jackson,,,,,117015.70,203187.26
B190,Indiana Academy,Hamilton,,,91708.19,328712.16,425797.43,470001.70
C175,Indiana Christian Academy,Madison,,99603.18,423945.32,667327.32,771498.04,833005.04
C455,Indianapolis Junior Academy,Marion,177550.00,318675.78,244628.94,160406.14,269775.02,277851.72
B302,Islamic School of Plainfield,Hendricks,,,,,,89407.38
B483,Jay County Christian Academy,Jay,62298.43,106410.14,264521.98,167539.38,174922.42,210326.84
D722,John Paul II Catholic High School,Vigo,3843.00,11144.00,,,,
B295,Kingsway Christian School,Hendricks,31816.28,151807.00,347660.78,569883.62,613765.89,570231.07
D440,Lafayette Christian School,Tippecanoe,,92175.55,270784.81,472770.38,557321.86,603081.70
B595,Lakeland Christian Academy,Kosciusko,30398.76,67427.11,88161.90,156831.46,165796.92,238242.95
B145,Lakeview Christian School,Grant,224614.43,448497.93,717267.41,794868.47,1000308.88,1049160.18
A740,Lakewood Park Christian School,Dekalb,96112.38,256781.77,557786.08,915093.15,946978.74,1036176.21
B248,Legacy Christian School,Hamilton,,,,62085.44,86684.19,142539.08
B299,Legacy Learning Center,Marion,,,,,,389475.97
C226,Liberty Christian Elementary,Madison,310123.37,493781.34,738722.80,817551.11,898543.90,926592.87
C225,Liberty Christian School,Madison,120945.92,152256.82,251971.38,416311.28,436401.56,599937.47
C224,Liberty Christian School (7-8),Madison,101826.11,143552.72,171749.75,171908.65,175681.80,
C927,Lighthouse Christian Academy,Monroe,27217.13,88135.87,172789.49,296332.59,392909.68,665405.85
