School No.,School Name,County,2011,2012,2013,2014,2015,2016
B125,Saints Peter & Paul School,Gibson,,,,,,
C710,Scecina Memorial School,Marion,225673.83,481269.41,1188844.62,1553023.93,1578413.65,1692605.22
D842,Seton Catholic High School,Wayne,28797.41,67081.38,179298.70,261764.17,323494.28,352721.59
B455,Seymour Christian Academy,Jackson,,,77738.23,196688.08,231548.03,277456.71
B505,Shawe Memorial High School,Jefferson,13334.05,30216.30,108215.87,316110.31,347279.56,305010.33
D195,South Bend Hebrew Day School,St Joseph,,40921.20,194203.77,310071.65,369737.71,413962.02
D300,South Bend Junior Academy School,St Joseph,36375.00,21750.00,54753.32,80003.80,71286.08,87104.64
C349,Southport Presbyterian Christian School,Marion,17080.00,57400.00,77873.14,111262.67,106522.80,119307.33
B928,Spirit of God Accelerated School,Lake,,27000.00,296100.00,336166.81,382708.16,194392.72
A200,Suburban Bethlehem Lutheran School,Allen,,54131.43,101405.11,166867.51,187670.75,223995.07
C325,Suburban Christian School,Marion,,,,103372.68,498859.52,620293.63
C940,Tabernacle Christian Schools,Morgan,,,199987.21,630394.51,771517.43,964633.88
D748,Terre Haute Seventh Day Adventist School,Vigo,36000.00,31500.00,55400.00,61100.00,62400.00,58699.40
C589,The Independence Academy,Marion,,11646.88,40443.96,,46432.86,70294.79
B136,The King's Academy,Grant,18688.20,92443.60,254896.87,385628.20,513130.01,555134.06
C773,The Oaks Academy,Marion,,357633.38,715460.75,910881.07,798824.02,835685.64
B297,The Oaks Academy - Brookside,Marion,,40500.00,219569.55,442474.96,543889.16,583750.98
C774,The Oaks Academy - Middle School,Marion,,,,,304281.16,385910.73
C918,The Prep School,Monroe,,,61990.04,66365.85,,
D458,Tippecanoe Christian School,Tippecanoe,30713.18,,,,,
B293,Todd Academy,Marion,,26235.88,70859.80,132474.43,,
C699,TP Schools,Marion,,91953.88,507396.72,711408.50,441402.02,378717.87
C375,Traders Point Christian Academy,Boone,55589.65,180151.93,384614.01,577133.64,685436.48,969172.42
C561,Trinity Christian School,Marion,261337.16,403378.95,926857.95,972631.34,1029442.44,943040.05
B901,Trinity Educational Daycare & Academy,Lake,,166500.00,324300.00,311636.54,186367.90,
B452,Trinity Lutheran High School,Jackson,,,,242220.59,234984.84,202408.90
B850,Trinity Lutheran School,Lake,15850.00,47580.57,84751.44,195391.10,214288.49,283214.02
C050,Trinity Lutheran School,Lake,33150.00,70293.00,63545.00,66506.50,77845.50,95784.24
C395,Trinity Lutheran School,Marion,96728.09,180325.29,335222.52,469843.55,345672.14,208953.00
D217,Trinity School At Greenlawn,St Joseph,,96529.54,138894.08,260902.55,265920.79,281496.83
D907,TROY Center,Whitley,,54824.56,66741.36,109527.10,113915.66,153592.95
B241,University High School of Indiana,Hamilton,4389.21,30476.66,,45290.09,59317.25,
D073,Victory Christian Academy,Porter,91376.83,176859.25,337586.80,495723.60,591434.56,628664.11
B600,Warsaw Christian School,Kosciusko,,44438.50,193676.74,324674.19,454073.69,506382.29
A665,Washington Catholic Elementary School,Daviess,60640.32,208044.40,361209.71,418336.07,497109.47,545540.06
A660,Washington Catholic Middle/High School,Daviess,44480.00,137137.16,165822.33,255134.17,431899.75,516754.42
D580,Westside Catholic School,Vanderburgh,13500.00,68164.40,252557.12,346230.03,435560.07,487281.29
A430,White Creek Lutheran School,Bartholomew,,,,,,42408.00
A375,Woodburn Lutheran School,Allen,5317.80,84797.07,243779.89,229317.97,230443.18,262060.16
