Year,Previously Attended an Indiana Public School,No Record of Attending an Indiana Public School,Total
2011,3526,385,3911
2012,7223,1916,9139
2013,12030,7779,19809
2014,14448,14700,29148
2015,15574,17112,32686
2016,15567,18732,34299
