IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2016 Grade
9210,Diocese of Lafayette Catholic Sch,C205,Saint Ambrose School,B
9210,Diocese of Lafayette Catholic Sch,C210,Saint Mary School,B
9210,Diocese of Lafayette Catholic Sch,D415,Central Catholic Jr-Sr High Sch,A
9210,Diocese of Lafayette Catholic Sch,D420,Saint Boniface School,A
9210,Diocese of Lafayette Catholic Sch,D425,Saint Lawrence Elementary School,A
9210,Diocese of Lafayette Catholic Sch,D430,Saint Mary Cathedral School,A
9215,Diocese of Evansville,A660,Washington Catholic Mid/High Sch,B
9215,Diocese of Evansville,A665,Washington Catholic Elem School,C
9215,Diocese of Evansville,A871,Holy Trinity Catholic School,A
9215,Diocese of Evansville,B105,St Joseph School,B
9215,Diocese of Evansville,B115,Holy Cross School,A
9215,Diocese of Evansville,B120,Saint James School,A
9215,Diocese of Evansville,B125,Saints Peter & Paul School,A
9215,Diocese of Evansville,B560,Rivet Middle & High School,B
9215,Diocese of Evansville,B565,Flaget Elementary School,B
9215,Diocese of Evansville,D095,St Matthew School,A
9215,Diocese of Evansville,D100,St Philip School,A
9215,Diocese of Evansville,D105,Saint Wendel School,A
9215,Diocese of Evansville,D370,St Bernard School,A
9215,Diocese of Evansville,D530,Mater Dei High School,A
9215,Diocese of Evansville,D535,Reitz Memorial High School,A
9215,Diocese of Evansville,D545,Annuc Cthlc Sch @ Christ the King,A
9215,Diocese of Evansville,D550,Corpus Christi School,A
9215,Diocese of Evansville,D555,Good Shepherd School,A
9215,Diocese of Evansville,D560,Holy Redeemer School,B
9215,Diocese of Evansville,D565,Holy Rosary School,A
9215,Diocese of Evansville,D570,Annunciation Cthlc at Holy Spirit,B
9215,Diocese of Evansville,D580,Westside Catholic School,B
9215,Diocese of Evansville,D590,St Benedict Cathedral School,A
9215,Diocese of Evansville,D605,Saint Joseph School,B
9215,Diocese of Evansville,D610,Resurrection School,A
9215,Diocese of Evansville,D815,Saint John The Baptist School,A
9220,Diocese of Fort Wayne - South Bend,A035,Saint Joseph School,A
9220,Diocese of Fort Wayne - South Bend,A104,Saint Elizabeth Seton Catholic Sch,B
9220,Diocese of Fort Wayne - South Bend,A120,Bishop Dwenger High School,A
9220,Diocese of Fort Wayne - South Bend,A125,Bishop Luers High School,B
9220,Diocese of Fort Wayne - South Bend,A130,Most Precious Blood School,B
9220,Diocese of Fort Wayne - South Bend,A135,Queen Of Angels School,C
9220,Diocese of Fort Wayne - South Bend,A145,Saint Charles Borromeo School,A
9220,Diocese of Fort Wayne - South Bend,A150,Saint John The Baptist School,A
9220,Diocese of Fort Wayne - South Bend,A155,Saint Joseph Catholic School,B
9220,Diocese of Fort Wayne - South Bend,A160,Saint Jude Elementary School,A
9220,Diocese of Fort Wayne - South Bend,A175,Saint Therese School,C
9220,Diocese of Fort Wayne - South Bend,A180,Saint Vincent DePaul School,A
9220,Diocese of Fort Wayne - South Bend,A270,Saint Aloysius Catholic School,A
9220,Diocese of Fort Wayne - South Bend,A340,Saint Rose of Lima School,B
9220,Diocese of Fort Wayne - South Bend,A350,St Joseph Hessen Cassel Cath Sch,B
9220,Diocese of Fort Wayne - South Bend,A355,Saint John The Baptist Catholic ,A
9220,Diocese of Fort Wayne - South Bend,A360,Saint Louis Besancon Catholic Sch,D
9220,Diocese of Fort Wayne - South Bend,A735,Saint Joseph School,A
9220,Diocese of Fort Wayne - South Bend,A975,St Thomas The Apostle School,B
9220,Diocese of Fort Wayne - South Bend,A980,St Vincent DePaul School,B
9220,Diocese of Fort Wayne - South Bend,B020,St John Evangelist School,C
9220,Diocese of Fort Wayne - South Bend,B418,Huntington Catholic School,C
9220,Diocese of Fort Wayne - South Bend,B605,Sacred Heart School,A
9220,Diocese of Fort Wayne - South Bend,C855,Saint Michael School,A
9220,Diocese of Fort Wayne - South Bend,C980,Saint Mary Elementary School,B
9220,Diocese of Fort Wayne - South Bend,D164,St Pius X Catholic School,A
9220,Diocese of Fort Wayne - South Bend,D165,Marian High School,A
9220,Diocese of Fort Wayne - South Bend,D177,Mishawaka Catholic School,B
9220,Diocese of Fort Wayne - South Bend,D198,Queen of Peace School,A
9220,Diocese of Fort Wayne - South Bend,D225,Saint Joseph High School,A
9220,Diocese of Fort Wayne - South Bend,D230,Christ The King School,A
9220,Diocese of Fort Wayne - South Bend,D235,Corpus Christi School,B
9220,Diocese of Fort Wayne - South Bend,D240,Holy Cross School,C
9220,Diocese of Fort Wayne - South Bend,D245,Holy Family School,C
9220,Diocese of Fort Wayne - South Bend,D250,Our Lady Of Hungary School,A
9220,Diocese of Fort Wayne - South Bend,D255,Saint Adalbert School,B
9220,Diocese of Fort Wayne - South Bend,D260,Saint Anthony De Padua School,A
9220,Diocese of Fort Wayne - South Bend,D265,Saint John The Baptist School,D
9220,Diocese of Fort Wayne - South Bend,D270,Saint Joseph School,A
9220,Diocese of Fort Wayne - South Bend,D275,Saint Jude Catholic School,C
9220,Diocese of Fort Wayne - South Bend,D285,Saint Matthew Cathedral School,C
9220,Diocese of Fort Wayne - South Bend,D805,Saint Bernard Elementary School,A
9230,Lutheran Schools of Indiana,A040,St Peter Immanuel Lutheran School,C
9230,Lutheran Schools of Indiana,A045,Wyneken Memorial Lutheran School,A
9230,Lutheran Schools of Indiana,A195,Concordia Lutheran High School,A
9230,Lutheran Schools of Indiana,A200,Suburban Bethlehem Lutheran School,B
9230,Lutheran Schools of Indiana,A205,Concordia Evangelical Lutheran Sch,C
9230,Lutheran Schools of Indiana,A215,Emmanuel St Michael Lutheran Sch,A
9230,Lutheran Schools of Indiana,A220,Emmaus Lutheran School,A
9230,Lutheran Schools of Indiana,A225,Holy Cross Lutheran School,B
9230,Lutheran Schools of Indiana,A235,Lutheran South Unity School,B
