Index,School No.,School Name,County,2011,2012,2013,2014,2015,2016
1,B037,Faith Christian School,Fayette,0,0,0,0,0,0
1,D452,Faith Christian School,Tippecanoe,81569.89,274404.35,489580.63,753385.02,949432.78,1076425.62
1,B161,Fishers Christian Academy,Hamilton,0,0,0,124552.16,144157.48,200632.46
1,B565,Flaget Elementary School,Knox,11225,65436.07,149553.94,257782.34,272280.78,266892
1,A724,Good Shepherd Christian Academy,Decatur,2805,16671.35,52185,81843.66,116855.1,117371.55
1,D555,Good Shepherd School,Vanderburgh,8747.24,39815.76,184109.76,285595.7,322905.78,315762.85
1,D329,Grace Christian Academy,Scott,34256.98,139993.15,236053.48,315259.57,340677.59,374685.9
1,D310,Granger Christian School,St Joseph,36054.91,96439.69,178835.36,225093.84,332771.73,491544.94
1,C966,Greenwood Christian Academy,Johnson,74312.02,156152.96,350650.49,666503.82,851558.21,923362.47
1,B249,Guerin Catholic High School,Hamilton,20837.51,51388.51,63389.52,188881.42,182118.53,244177.46
1,B790,Hammond Baptist Elementary & High School,Lake,0,26842.1,0,0,0,0
1,C475,Hasten Hebrew Academy Of Indianapolis,Marion,0,25146.88,93638.61,153169.97,197205.56,167895.65
1,C275,Heritage Christian School,Marion,137525.09,246979.54,454298.28,971396.77,1233565.5,1497763.61
1,A746,Heritage Hall Christian School,Delaware,0,114717.78,267657.99,422194.22,417388.11,508155.33
1,C020,Highland Christian School,Lake,0,0,278605.03,587562.79,716388.19,840789.26
1,C590,Holy Angels Catholic School,Marion,93351.48,329674.91,537858.7,541223.36,486685.71,392020.33
1,C595,Holy Cross Central School,Marion,219631.06,398582.77,913029.37,915851.96,1160030.45,1161884.22
1,A225,Holy Cross Lutheran School,Allen,0,65900,170400,280460.5,325767.27,378173.15
1,C267,Holy Cross Lutheran School,Marion,4500,4500,0,96267.92,109922.98,139246.62
1,B115,Holy Cross School,Gibson,0,2445,0,38350,66050,68787.5
1,C211,Holy Cross School,Madison,0,0,0,0,0,502932.34
1,D240,Holy Cross School,St Joseph,181315.72,345465.6,794313.46,654624.3,711620.28,735239.16
1,D725,Holy Cross School,Vigo,40500,18000,0,0,0,0
1,A865,Holy Family School,Dubois,20682.73,38355.5,66175,87051,0,0
1,B050,Holy Family School,Floyd,11702.17,21044.41,81604.32,194221.3,201702.43,220926.95
1,D245,Holy Family School,St Joseph,148234.19,246103.6,440776.28,618934,641782,715020.94
1,C545,Holy Name School,Marion,50218.02,115386.9,258472.19,455372.38,514378.19,501505.59
1,D560,Holy Redeemer School,Vanderburgh,46114.48,100663.04,157103.32,292996.39,326832.09,376592.88
1,D565,Holy Rosary School,Vanderburgh,15317,56596.3,244880.5,300613.44,363476.52,476642.18
1,C390,Holy Spirit School,Marion,266407.89,522422.79,815054.27,834507.5,996396.19,1129321.91
1,D570,Holy Spirit School,Vanderburgh,78152,187813.69,570857.54,517822.12,473707.58,527794.5
1,A871,Holy Trinity Catholic School,Dubois,0,0,0,0,182517.42,202360
1,A309,Horizon Christian Academy,Allen,71647.83,201500.47,587289.46,905127.09,1306617.42,0
1,A302,Horizon Christian Academy II,Allen,0,0,537631.9,371466.15,313230.8,0
1,A307,Horizon Christian Academy III,Allen,0,75060.34,861293.55,897012.3,1145679.67,2437488.08
1,C282,Horizon Christian School,Marion,72096.34,191622.7,407030.46,549934.95,618433.27,721498.1
1,C563,Horizon Christian School-Shepherd Campus,Marion,0,80189.53,394169.79,409728,566894.79,607387.65
1,B725,Howe School,LaGrange,8728.48,28398.76,0,0,57057.17,70107.56
1,B418,Huntington Catholic School,Huntington,70975.02,86665.16,197838.08,212549.7,283822.65,316531.78
1,C600,Immaculate Heart of Mary School,Marion,0,5625.54,0,0,0,0
1,B445,Immanuel Lutheran School,Jackson,0,0,0,0,117015.7,203187.26
1,B190,Indiana Academy,Hamilton,0,0,91708.19,328712.16,425797.43,470001.7
1,C175,Indiana Christian Academy,Madison,0,99603.18,423945.32,667327.32,771498.04,833005.04
1,C455,Indianapolis Junior Academy,Marion,177550,318675.78,244628.94,160406.14,269775.02,277851.72
1,B302,Islamic School of Plainfield,Hendricks,0,0,0,0,0,89407.38
1,B483,Jay County Christian Academy,Jay,62298.43,106410.14,264521.98,167539.38,174922.42,210326.84
1,D722,John Paul II Catholic High School,Vigo,3843,11144,0,0,0,0
1,B295,Kingsway Christian School,Hendricks,31816.28,151807,347660.78,569883.62,613765.89,570231.07
1,D440,Lafayette Christian School,Tippecanoe,0,92175.55,270784.81,472770.38,557321.86,603081.7
1,B595,Lakeland Christian Academy,Kosciusko,30398.76,67427.11,88161.9,156831.46,165796.92,238242.95
1,B145,Lakeview Christian School,Grant,224614.43,448497.93,717267.41,794868.47,1000308.88,1049160.18
1,A740,Lakewood Park Christian School,Dekalb,96112.38,256781.77,557786.08,915093.15,946978.74,1036176.21
1,B248,Legacy Christian School,Hamilton,0,0,0,62085.44,86684.19,142539.08
1,B299,Legacy Learning Center,Marion,0,0,0,0,0,389475.97
1,C226,Liberty Christian Elementary,Madison,310123.37,493781.34,738722.8,817551.11,898543.9,926592.87
1,C225,Liberty Christian School,Madison,120945.92,152256.82,251971.38,416311.28,436401.56,599937.47
1,C224,Liberty Christian School (7-8),Madison,101826.11,143552.72,171749.75,171908.65,175681.8,0
1,C927,Lighthouse Christian Academy,Monroe,27217.13,88135.87,172789.49,296332.59,392909.68,665405.85
1,C270,Lutheran High School,Marion,69362.12,133252.88,229976.49,474849.52,454703.66,565791.91
1,A235,Lutheran South Unity School,Allen,77913.05,213157.61,575929.55,695315.43,541068.78,330647.1
1,D165,Marian High School,St Joseph,224007.56,336520.23,751616.3,1368610.25,1556009.4,1619159.01
1,C125,Marquette Catholic High School,LaPorte,87665.43,210711.69,373800.32,541408.02,782637.6,684594.86
1,D530,Mater Dei High School,Vanderburgh,28072.34,52125.04,110375.39,544431.52,639749.92,588635.72
1,D315,Michiana Christian School,St Joseph,0,3140.4,70132.48,133991.56,136532.57,161463.72
1,B747,Midwest Elite Preparatory Academy,Lake,0,0,269816.58,562795.22,298608.34,260285.55
1,D177,Mishawaka Catholic School,St Joseph,73591.35,202244.04,389895.76,645119.3,628687.6,577705.12
1,C965,Mooresville Christian Academy,Morgan,25262.42,28360.96,210987.02,459229.84,609160.81,561508.17
1,B951,Morning Star Academy,Lake,0,0,0,0,0,62082
1,B904,Mosaic Middle School,Lake,0,0,0,169225.79,322527.88,335676.78
1,A130,Most Precious Blood School,Allen,73465.22,160465.86,382702.15,533704.23,538450.9,583717.98
1,C628,MTI School of Knowledge,Marion,310656.12,565635.3,857048.27,1037575.51,1113508.07,1257589.42
1,D065,Nativity of Our Savior School,Porter,22742.14,100128.72,200959.84,334854.92,253320.68,250251.07
1,C265,Nativity School,Marion,37300,71098.48,119548.94,230642.23,354876.68,362926.71
1,D249,New Vision Christian Academy,St Joseph,0,9000,85400,74856.1,84937.36,132275.59
1,D158,North Liberty Christian School,St Joseph,0,15250,27900,51750,76057.88,35011
1,A405,North Star Montessori School,Bartholomew,0,0,0,0,56261,80793.85
1,C105,Notre Dame Elementary School,LaPorte,45213.75,42889.08,150879.74,240782.07,345078.76,326076.3
1,D135,Oldenburg Academy,Franklin,14649.97,40386.63,59221.92,210325.52,276214.03,256196.32
1,B246,Our Lady of Grace School,Hamilton,16921.51,79746.69,145713.49,196117.63,272684.19,214128.81
1,C025,Our Lady Of Grace School,Lake,58412.4,157560.82,305699.69,403525.48,393320.76,433794.83
1,D250,Our Lady Of Hungary School,St Joseph,290805.81,493871.72,705228.32,671711.66,763801.5,864582.2
1,C605,Our Lady Of Lourdes School,Marion,96096.74,160687.71,360859.79,369809.51,392201.87,389201
1,B060,Our Lady Of Perpetual School,Floyd,33417.58,52928.03,141799.13,282548.31,284201.23,264043.46
1,A575,Our Lady Of Providence High School,Clark,25221.34,65646.1,145840.29,412745.02,442957.21,445572.29
1,B535,Our Lady Of The Greenwood School,Johnson,46305.04,188557.35,436738.38,376537.23,471754.87,490609.74
1,A106,Our Lady School,Allen,0,0,0,0,0,436840.64
1,C512,Our Shepherd Lutheran School,Hendricks,35959.28,71677.5,110742.29,161674.07,269212.81,217281.01
1,B167,Paddock View Residential Center,Grant,105963.34,131499.91,138191.73,0,0,0
1,C899,Pinnacle School,Monroe,47870.46,132045.81,306545.04,413089.91,72350.38,0
1,B510,Pope John XXIII School,Jefferson,7773,97411.6,277896.16,464790.01,524910.79,556820.18
1,D080,Portage Christian School,Porter,0,0,189701.41,830794.08,1107968.52,1293837.34
1,A870,Precious Blood School,Dubois,3264,12327,32592.08,67006,0,0
1,C791,Project Libertas,Marion,0,0,206448.61,261122.12,385269.48,347909.15
1,C623,Providence Cristo Rey High School,Marion,382859.33,614404.77,966075.85,1180966.85,1311249.27,1439213.55
1,C110,Queen Of All Saints School,LaPorte,147431.25,185138.16,331533.48,349564.93,317075.96,429179
1,A135,Queen Of Angels School,Allen,80763.41,267294.76,392750.91,456328.08,474607.13,489894.99
1,D198,Queen of Peace School,St Joseph,25030.51,76410.7,158896.91,247274.43,300612.12,299219.62
1,B367,Redeemer Lutheran School,Howard,3715,23621.52,39390.81,84836.15,176057.83,177131.46
1,D535,Reitz Memorial High School,Vanderburgh,60833.97,112643.2,216050.59,732273.3,769697.08,878972.18
1,D317,Resurrection Lutheran Academy,St Joseph,0,0,0,0,0,80911
1,D610,Resurrection School,Vanderburgh,4040,18605,112028,212519.21,223964.83,269603.43
1,D860,Richmond Academy,Wayne,63500,78395.76,64882.93,133645.18,187783.69,175294.14
1,B560,Rivet Middle & High School,Knox,13536.29,17446,58248.18,145046.28,158462.69,157203.65
1,C320,Roncalli High School,Marion,96643.13,222216.92,578571.23,1292320.89,1532840.4,1553179
1,A470,Sacred Heart School,Benton,0,16600,50800,76200,125293,134324.7
1,A570,Sacred Heart School,Clark,66697.06,152751.84,317230.53,367145.26,431391.41,393770.77
1,B605,Sacred Heart School,Kosciusko,27000,53312.63,98236,138211.2,170855.5,133899.11
1,D255,Saint Adalbert School,St Joseph,185012,381561.6,746913.28,914225,958161.05,1045750.42
1,A270,Saint Aloysius Catholic School,Allen,21285.44,56314.27,185814.77,164241.12,194735.29,169579.06
1,B440,Saint Ambrose School,Jackson,18467.94,26659,74668.54,172038.94,205986.52,236742.31
1,C205,Saint Ambrose School,Madison,38513.64,65658.18,114659.97,202036.3,204131.96,0
1,C615,Saint Anthony Catholic School,Marion,0,0,0,0,1082225.94,1201088.96
1,D260,Saint Anthony De Padua School,St Joseph,139979.73,185689.16,360667.66,578633.72,590407.18,561955.4
1,A560,Saint Anthony School,Clark,36640.78,88352.04,287997.06,542862.95,649156.74,754121.01
1,B475,Saint Augustine School,Jasper,11820,38865.88,78776.02,89718.03,89144.78,88325.3
1,C295,Saint Barnabas School,Marion,26223.72,41893.72,73740.17,144536.82,203832.39,247753.92
1,A425,Saint Bartholomew School,Bartholomew,0,25110,116600.74,265661.79,327102.92,429104.02
1,D590,Saint Benedict Cathedral School,Vanderburgh,16307.24,36567.5,203248.26,280335.19,261633.16,302603.01
1,D805,Saint Bernard Elementary School,Wabash,9000,34453.03,86248.96,101802.07,124130.32,213587.05
1,D370,Saint Bernard School,Spencer,53175.12,71606.24,112532.92,166252.47,184173.52,217906.61
1,D420,Saint Boniface School,Tippecanoe,31219.86,45240.84,150049.18,212291.78,203385.37,247520.43
1,C040,Saint Bridget School,Lake,6750,0,0,0,0,0
1,B950,Saint Casimir School,Lake,135995,346806.57,771818.58,1153806.89,1239679.73,1344607.53
1,C900,Saint Charles Borromeo School,Monroe,0,38022.58,74053.73,97169.6,129880.1,144132.04
1,A145,Saint Charles Borromeo School,Allen,94343.49,372874.25,974015.02,1323988.09,1535213.06,1572271.08
1,C795,Saint Christopher School,Marion,31285,77549.28,243903.02,375015.41,408602.76,387687.28
1,B800,Saint Edward School,Lake,2488.46,0,0,0,0,0
1,D840,Saint Elizabeth Ann Seton School,Wayne,25999,198179.38,407473.94,491586.23,471509.87,575867.78
1,B035,Saint Gabriel Parochial School,Fayette,11682,34073.78,91289.67,198326.44,211550,250928.39
1,D435,Saint James Lutheran School,Tippecanoe,5067.86,35459.98,79905.3,157478.17,211341.34,190563.34
1,B120,Saint James School,Gibson,0,5813,39487.5,92554.92,122177.62,142157.47
1,C645,Saint Joan Of Arc School,Marion,155713.77,282389.95,446587.48,598595.24,656218.39,750810.81
1,B960,Saint John Bosco School,Lake,157921.77,356552.24,573625.28,685923.47,702005.91,735121.03
1,A695,Saint John Evangelical Lutheran School,Dearborn,0,0,0,0,0,54902.89
1,C400,Saint John Evangelical Lutheran School,Marion,35990.64,44318.07,76813.92,144194.3,202454.17,204510.32
1,B020,Saint John Evangelist School,Elkhart,34464.59,48088.54,108701.73,204402.8,203687.18,278373.22
1,B780,Saint John Evangelist School,Lake,0,18667.71,36459.41,99607.1,110702.87,111542.65
1,B275,Saint John Lutheran School,Harrison,0,0,24394,63694.52,84053.26,75772.13
1,B450,Saint John Lutheran School,Jackson,0,0,0,0,10400,0
1,C150,Saint John Lutheran School,LaPorte,13100,30736,57221,115844.52,174505.34,191336.25
1,C985,Saint John Lutheran School,Noble,25384.53,80708.84,157205.82,220282.3,246979.23,248686.59
1,A355,Saint John The Baptist Catholic School,Allen,21476.7,121745.14,435666.85,300650,450010.72,358389.38
1,A150,Saint John The Baptist School,Allen,90000,196643.75,499540.79,523087.29,639207.92,669401.69
1,B965,Saint John The Baptist School,Lake,48925.62,77651.47,283467.46,280337.79,323162.11,420551.12
1,D265,Saint John The Baptist School,St Joseph,120143.06,225421.2,318617.46,271125,302798.33,318474.63
1,D465,Saint John The Baptist School,Tippecanoe,16232.95,32991.01,62329.88,0,0,0
1,D815,Saint John The Baptist School,Warrick,4398.31,34876.22,103485.12,203626.08,225003.13,282202.01
1,A365,Saint John-Emmanuel Lutheran School,Allen,0,0,0,153876.33,177291.75,202521.96
1,A340,Saint Joseph Catholic School,Allen,54000,24055.69,70108.01,154797.19,173839.79,180088.88
1,A350,Saint Joseph Hessen Cassel Catholic School,Allen,22500,47477.15,79478.86,155554.53,157881.4,163453.46
1,A035,Saint Joseph School,Adams,38741.46,116414.88,389397.67,592754.71,564856.35,541594.74
1,A735,Saint Joseph School,Dekalb,22500,43845.34,88701.3,118550.9,132003.39,113810.01
1,B105,Saint Joseph School,Gibson,7458,16918.93,75465.12,155459.62,138560.37,178048.97
1,B280,Saint Joseph School,Harrison,0,3095,46963.14,110058.82,97940.4,153704.02
1,C145,Saint Joseph School,LaPorte,8983.15,0,0,0,0,0
1,D270,Saint Joseph School,St Joseph,13979.73,28662,109548.82,180598.5,271314.68,315232.08
1,D335,Saint Joseph School,Shelby,24500,61000,119162.39,162225.68,162526.58,155866.64
1,D605,Saint Joseph School,Vanderburgh,2920,22702.88,52864.08,72598.7,68825.11,92550.51
1,D225,Saint Joseph's High School,St Joseph,67627.26,159512.03,437553.41,1003522.55,1092098.13,1407472.11
1,A155,Saint Joseph-Saint Elizabeth Campus I,Allen,25482.61,63446.53,142002.51,357299.71,662931.95,795050.34
1,A104,Saint Joseph-Saint Elizabeth Campus II,Allen,25332.92,92382.7,284775.45,452107.38,549199.28,606441.28
1,D275,Saint Jude Catholic School,St Joseph,68459.46,139792.8,263467.78,380542.28,428620.1,455291.92
1,A160,Saint Jude Elementary School,Allen,109574.36,319757.99,659749.2,936744.24,1083760.18,1132974.52
1,C300,Saint Jude Elementary School,Marion,28397.72,58652.02,160646.65,319264.09,392683.76,427243.56
1,D425,Saint Lawrence Elementary School,Tippecanoe,5067.86,61882.79,178947.31,238430.61,270431.85,369946.57
1,A700,Saint Lawrence School,Dearborn,0,4500,0,0,90286.96,116250.54
1,A790,Saint Lawrence School,Delaware,11616,27863,56573,90627,83241,82209.39
1,C280,Saint Lawrence School,Marion,178852.38,389918.21,783776.22,907063.94,816964.43,768777.71
1,A360,Saint Louis Besancon Catholic School,Allen,16158.9,50425.5,154781.55,264020.83,269893.83,242872.17
1,D130,Saint Louis School,Ripley,0,32479.31,127247.64,262001.81,270632.13,256998.77
1,C435,Saint Luke School,Marion,9000,35358.92,138371.51,232790.94,302091.2,340725.27
1,B285,Saint Malachy School,Hendricks,9424.87,71661.14,190159.74,385151.83,473176.83,446435.58
1,C305,Saint Mark School,Marion,85784.87,174968.53,313314.75,372791.15,384041.74,585246.15
1,D430,Saint Mary Cathedral School,Tippecanoe,32164.49,99811.83,254851.4,228715.95,297314.4,298485.67
1,B835,Saint Mary Catholic Community School,Lake,75709.19,144248.26,304300.47,390753.8,477465.46,464636.17
1,C980,Saint Mary Elementary School,Noble,9000,31038.24,70570.19,133884.66,151968.83,138762.22
1,D140,Saint Mary Elementary School,Rush,20930,63890.56,191150.4,209781.93,252876.54,232219.48
1,B067,Saint Mary of-the-Knobs Catholic School,Floyd,0,9723.82,0,47192.42,67560.61,83822.45
1,A690,Saint Mary School,Dearborn,9000,57172.36,93591.2,139000.05,146934.81,160890.77
1,A730,Saint Mary School,Decatur,0,5655,0,32040.19,43532.37,71973.54
1,A795,Saint Mary School,Delaware,46000,46950,73950,142813.68,156431.05,185264.4
1,B515,Saint Mary School,Jennings,20610,54625.93,143354.98,176587.77,183510.85,189833.78
1,B930,Saint Mary School,Lake,77000,219005.59,420514.99,480499.89,416933.02,466698.2
1,C190,Saint Mary School,Madison,1820,18500,68150,122550,141986.67,130500
1,C210,Saint Mary School,Madison,30374.58,95869.1,201205,253566.7,254137.96,0
1,B065,Saint Mary's Catholic School,Floyd,11244.28,41869.19,0,0,0,0
1,D285,Saint Matthew Cathedral School,St Joseph,138639.64,268742.89,726734.33,906703.47,944451.32,990720.6
1,C440,Saint Matthew School,Marion,38574.49,122302.66,216211.92,350408.49,485574.16,577504.17
1,D095,Saint Matthew School,Posey,0,7275.91,36676.1,42000.03,34744.81,43476.87
1,B095,Saint Michael School,Franklin,11505,8217,21600,15700,21050,28200
1,B265,Saint Michael School,Hancock,25485,25300,124059.39,212731.02,183243.88,161090.8
1,B775,Saint Michael School,Lake,4500,7342.1,71375.91,82730.39,74418.58,86629.03
1,C855,Saint Michael School,Marshall,32342.12,126356.68,208098.75,261281.44,332777.52,292850.29
1,C650,Saint Michael The Archangel School,Marion,258439.58,526354.88,962052.14,947078.09,1134511.99,1253231.93
1,C445,Saint Monica School,Marion,138707.65,229336.51,538833.97,685162.67,776167.86,871061.87
1,A680,Saint Nicholas School,Ripley,0,0,0,0,0,0
1,D050,Saint Patrick School,Porter,3773,0,0,0,0,42690
1,D720,Saint Patrick School,Vigo,71504.4,181689.62,349099.75,428045.36,530592.62,553574.9
1,A685,Saint Paul Catholic School,Dearborn,0,13143.54,37035,107290.1,127529.22,126316.16
1,D085,Saint Paul Catholic School,Porter,0,0,0,0,0,46771.09
1,A245,Saint Paul Lutheran School,Allen,48775.61,166131.69,355405.63,393502.53,512072.6,554472.4
1,C130,Saint Paul Lutheran School,LaPorte,0,39358.5,137122.93,230663.23,341163.99,452324
1,B155,Saint Paul Parish School,Grant,18724.3,90780,208475.85,266695.84,230868.27,265998.58
1,A550,Saint Paul School,Clark,0,2578.6,47818.2,150886.51,183497.52,192487.28
1,C065,Saint Paul's Lutheran School,Lake,0,9000,76747.02,78230,149166.57,168073.06
1,A040,Saint Peter Immanuel Lutheran School,Adams,0,7650,17268,17000,17525,22775
1,A435,Saint Peter Lutheran School,Bartholomew,25181.46,33230.84,0,0,224313.34,483938.17
1,D375,Saint Peter Lutheran School,Starke,2485,18900,24185,83580,138161.85,182919.12
1,A250,Saint Peter's Lutheran School,Allen,0,39715,186540,289467.41,349412.32,367359.44
1,C655,Saint Philip Neri School,Marion,206276.02,341189.53,827015.21,980898.51,1236561.26,1267500.58
1,D100,Saint Philip School,Posey,4840,18742.5,49085,68034.09,74096.41,75940.06
1,D164,Saint Pius X Catholic School,St Joseph,3159.91,82398.32,195860.27,277673.27,324121.21,352408.89
1,C450,Saint Pius X School,Marion,2766.58,26649.16,72338.98,151645.04,177513.59,171300.09
1,C310,Saint Roch School,Marion,55089.26,77367.22,164014.22,213268.65,281328.14,313985.25
1,B518,Saint Rose of Lima School,Johnson,33650.98,101672.7,246675.12,256335.86,267746.19,360515.78
1,C665,Saint Simon The Apostle School,Marion,9000,38893.59,41890.31,78058.9,119581.94,168922.72
1,C120,Saint Stanislaus Kostka School,LaPorte,93771.28,219514.64,404851.03,511387.36,481556.97,402964.5
1,B865,Saint Stanislaus School,Lake,293992.05,496103.96,744821.47,566258.04,679645.15,772445.76
1,B300,Saint Susanna School,Hendricks,26678.32,62506.8,151219.62,198771.77,190596.26,182996.46
1,D615,Saint Theresa School,Vanderburgh,72000,139500,262761.18,181413.43,0,0
1,C670,Saint Therese Little Flower School,Marion,192069.76,417326.71,701389.65,761398.76,854472.1,1136436.56
1,A175,Saint Therese School,Allen,136089.34,186143.02,345282.86,444697.77,607619.64,575507.61
1,C675,Saint Thomas Aquinas School,Marion,33394.56,35189.53,115865.59,197974.51,254449.69,235136.65
1,C060,Saint Thomas More School,Lake,36146,58568.28,102525.87,146142.23,266913.1,316855.33
