Year,Kindergarten,Kindergarten %,Grades 1-8,Grades 1-8 %,Grades 9-12,Grades 9-12 %,Total,Total %
2011,,0.00000,3172,0.81100,739,0.18900,3911,1.00000
2012,,0.00000,7607,0.83200,1532,0.16800,9139,1.00000
2013,1285,0.06500,15512,0.78300,3012,0.15200,19809,1.00000
2014,1809,0.06200,21658,0.74300,5681,0.19500,29148,1.00000
2015,1775,0.05430,23912,0.73160,6999,0.21410,32686,1.00000
2016,1835,0.05350,24954,0.72750,7510,0.21900,34299,1.00000
