Year,90% Award,90% Award,50% Award,50% Award,Total,Total
2011,3315,0.84800,596,0.15200,3911,1.00000
2012,7420,0.81200,1719,0.18800,9139,1.00000
2013,14960,0.75520,4849,0.24480,19809,1.00000
2014,20496,0.70300,8652,0.29700,29148,1.00000
2015,22538,0.68950,10148,0.31050,32686,1.00000
2016,23428,0.68305,10871,0.31695,34299,1.00000
