Year,Total Students,Participated in the Previous Year,Did Not Participate in the Previous Year,Percent Retained From the Previous Year
2011,3911,,,
2012,9139,2958,6181,0.75600
2013,19809,7103,12706,0.77700
2014,29148,16059,13089,0.81100
2015,32686,23505,9181,0.80640
2016,34299,26216,8083,0.80210
