School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
D189,Covenant Christian School,St Joseph,"$39,036.44","$89,617.17","$201,734.79","$313,486.87","$336,710.81","$409,650.98"
B085,Covington Christian School,Fountain,"$21,950.00","$48,209.12","$101,321.22","$118,340.70","$102,835.50","$73,579.87"
C215,Cross Street Christian School,Madison,#N/A,#N/A,-,*,"$65,700.00","$124,070.00"
B009,Crossing Educational Center,Elkhart,#N/A,#N/A,"$202,551.13","$593,164.67","$1,497,350.97","$1,495,546.16"
C514,Crosspointe Christian Academy,Marion,#N/A,#N/A,"$79,311.49","$177,817.40","$224,732.84","$378,822.01"
A275,Crossroad Academy,Allen,#N/A,#N/A,#N/A,-,-,"$70,523.47"
B771,Crown Point Christian School,Lake,#N/A,#N/A,-,"$321,075.23","$352,153.38","$411,744.32"
C223,Delaware Christian Academy,Delaware,#N/A,#N/A,*,"$350,400.00","$496,090.25","$268,339.72"
B470,DeMotte Christian School,Jasper,"$39,539.98","$152,048.49","$327,184.15","$547,921.63","$582,578.76","$565,229.90"
C112,Door Prairie Adventist School,LaPorte,#N/A,"$100,961.99","$91,360.14","$93,289.34",*,-
A990,Elkhart Christian Academy,Elkhart,"$87,575.72","$279,266.20","$522,233.59","$536,718.87","$862,444.81","$1,022,095.30"
B160,Eman Schools,Hamilton,"$24,948.79","$148,190.35","$343,463.36","$400,746.86","$479,849.89","$555,247.97"
A215,Emmanuel Saint Michael Lutheran School,Allen,#N/A,"$78,751.80","$188,186.38","$373,728.89","$438,022.67","$472,138.91"
A220,Emmaus Lutheran School,Allen,"$54,700.00","$147,926.79","$215,823.52","$293,410.15","$360,548.68","$399,136.85"
C680,Emmaus Lutheran School,Marion,"$13,500.00","$36,000.00","$70,500.00","$78,600.00","$70,200.00","$75,600.00"
D485,Evansville Christian School,Vanderburgh,"$44,898.31","$216,205.02","$690,852.37","$1,125,214.22","$1,275,987.56","$1,502,956.53"
D525,Evansville Day School,Vanderburgh,"$2,807.24","$13,597.83",*,*,"$180,882.04","$164,414.20"
D526,Evansville Day School PK-08,Vanderburgh,"$10,114.48","$41,164.40","$83,751.93","$112,433.35",-,-
D625,Evansville Lutheran School,Vanderburgh,"$66,921.72","$147,998.64","$350,715.58","$430,438.33","$510,547.92","$437,188.31"
B748,Faith Academy,Lake,#N/A,"$58,026.30","$198,300.73","$336,157.16","$197,915.12","$308,178.86"
B037,Faith Christian School,Fayette,#N/A,#N/A,-,-,*,-
D452,Faith Christian School,Tippecanoe,"$81,569.89","$274,404.35","$489,580.63","$753,385.02","$949,432.78","$1,076,425.62"
B161,Fishers Christian Academy,Hamilton,#N/A,#N/A,*,"$124,552.16","$144,157.48","$200,632.46"
B565,Flaget Elementary School,Knox,"$11,225.00","$65,436.07","$149,553.94","$257,782.34","$272,280.78","$266,892.00"
A724,Good Shepherd Christian Academy,Decatur,"$2,805.00","$16,671.35","$52,185.00","$81,843.66","$116,855.10","$117,371.55"
D555,Good Shepherd School,Vanderburgh,"$8,747.24","$39,815.76","$184,109.76","$285,595.70","$322,905.78","$315,762.85"
D329,Grace Christian Academy,Scott,"$34,256.98","$139,993.15","$236,053.48","$315,259.57","$340,677.59","$374,685.90"
D310,Granger Christian School,St Joseph,"$36,054.91","$96,439.69","$178,835.36","$225,093.84","$332,771.73","$491,544.94"
C966,Greenwood Christian Academy,Johnson,"$74,312.02","$156,152.96","$350,650.49","$666,503.82","$851,558.21","$923,362.47"
B249,Guerin Catholic High School,Hamilton,"$20,837.51","$51,388.51","$63,389.52","$188,881.42","$182,118.53","$244,177.46"
B790,Hammond Baptist Elementary & High School,Lake,#N/A,"$26,842.10",-,-,-,-
C475,Hasten Hebrew Academy Of Indianapolis,Marion,#N/A,"$25,146.88","$93,638.61","$153,169.97","$197,205.56","$167,895.65"
C275,Heritage Christian School,Marion,"$137,525.09","$246,979.54","$454,298.28","$971,396.77","$1,233,565.50","$1,497,763.61"
A746,Heritage Hall Christian School,Delaware,#N/A,"$114,717.78","$267,657.99","$422,194.22","$417,388.11","$508,155.33"
C020,Highland Christian School,Lake,#N/A,#N/A,"$278,605.03","$587,562.79","$716,388.19","$840,789.26"
C590,Holy Angels Catholic School,Marion,"$93,351.48","$329,674.91","$537,858.70","$541,223.36","$486,685.71","$392,020.33"
