Selected Service Provider,2013,2013 %,2014,2014 %,2016,2016 %
Choice School,235,0.09800,581,0.19020,623,0.19672
Public School Corporation,2152,0.90200,2474,0.80980,2544,0.80328
Total,2387,1.00000,3055,1.00000,3167,1.00000
